name,landscape and content,suitable activities,atmosphere,latitude,longitude,x,y,id
GULLI PARK THIAIS,"Indoor soft play area with bounce houses, ball pits, and accessible games. Some reviews note maintenance issues (broken equipment) and crowded layout.","Children’s play (climbing, bouncing, ball games), parent lounging. Focused on kids’ entertainment with minimal adult-oriented amenities.","Lively and kid-friendly but chaotic at times. Mixed feedback: praised for fun energy, criticized for overcrowding and staff environment management.",48.7571372,2.3869865,654935.5008286989,6850955.937509092,10
Pelouse de Reuilly,"Features festive elements like Christmas trees, Santa, circus themes (Gruss circus), and park-like areas with hiking paths. Includes fair attractions (rides, carousels) and food vendors.","Enjoying rides, games, and family-friendly fairs (Throne Fair); cycling, rollerblading, hiking; dining at restaurants; seasonal events like Christmas markets.","Lively, festive, and family-oriented with a noisy, crowded vibe during fairs. Mixes fun energy with some complaints about high prices and occasional poor crowd management.",48.8301604,2.4065252,656432.8468063344,6859064.09607389,11
LevPark Little Parc,"Mixed reviews on upkeep: some mention outdated, broken, or unclean play structures; others note spaciousness and varied games. Includes climbing areas, toddler zones, and party spaces. Criticisms include poor hygiene and safety, while positives highlight diverse play options.","Children's play, birthday parties, climbing, toddler activities, and family events. Some enjoy pizza and entertainment, though overcrowding and reserved areas limit accessibility for non-regular visitors.","Polarizing: praised for helpful staff and fun vibe by some, criticized as unwelcoming, overcrowded, and poorly maintained by others. Described as both lively for kids and unpleasant due to cold service or uncleanliness.",48.76146319999999,2.4985842,663142.3211595208,6851379.023515805,12
Aquaboulevard de Paris Minigolf Course,"Large water park with slides, outdoor pools, and mini-golf. Mixed reviews on cleanliness and maintenance. Some mention outdated facilities but praise spaciousness and family-friendly layout.","Swimming, sliding, family outings, picnics, and mini-golf. Ideal for children, with options for all-day leisure. Bring towels for poolside use.","Lively and family-focused, but crowded and expensive. Some find it pleasant and friendly; others criticize upkeep and prioritize profit over visitor experience.",48.8314803,2.2738743,646696.5056659596,6859292.221563607,13
Georges-Lamarque Square,"Compact urban park with shaded play structures, ping pong tables, and greenery. Features a children's playground and open spaces, bordered by traffic. Some reviews note occasional rats and limited seating.","Children's play, ping pong, relaxing breaks, and family outings. Ideal for young kids and quick respites from city bustle.","Lively yet noisy due to traffic; friendly and practical with a community vibe. Mix of calm shaded areas and urban energy, though some mention maintenance issues.",48.83475110000001,2.3306136,650864.607856937,6859619.092114545,14
La Riviere Enchantee,"Lush green setting with misters along pathways, featuring a calm boat route through natural scenery. Includes thematic elements like a 'magnificent route' and water-based features.","Family-friendly boat rides, short quiet walks (5-10 mins), and activities for young children (3-6 years). Ideal for romantic or family strolls.","Peaceful and calm environment, with some visitors noting frustration over paid rides. Generally described as friendly and suitable for quiet relaxation.",48.8779637,2.2672827,646260.604197929,6864465.182586934,15
XIIth Carousel,"Vintage-style carousel with classic charm, featuring a visually appealing and well-maintained structure. Thematic focus on nostalgic, family-friendly aesthetics.","Riding the carousel, enjoying family outings with children, and hosting small private events (mentioned in one review). Ideal for brief recreational stops.","Mixed but polarized: mostly cheerful with smiling staff (especially Didier), but inconsistent due to reports of a disrespectful manager creating occasional tension.",48.8419877,2.3892699,655176.3267989949,6860388.828231399,16
Gulli Park Bry sur Marne,"Colorful, child-friendly play areas with varied attractions. Some reviews note crowded spaces and suggest improving safety features. Described as 'beautiful' with 'lots of activities' for kids.","Ideal for family outings, with play zones and activities tailored for young children. Reviews highlight 'spending time with kids' and enjoying 'different attractions'.","Lively and energetic, often crowded. Mixed feedback: praised as 'super' and 'top' for fun, but criticized as chaotic ('pure horror') during peak times.",48.830348,2.531644,665617.8549839031,6859023.198589012,17
Escape Hunt Paris - Escape Game,"Themed escape rooms (e.g., Metro station, immersive stories) with detailed set designs, Parisian-inspired decor, and varied creative scenarios emphasizing puzzle-solving and narrative-driven challenges.","Team-based puzzle-solving, group escape games (2+ players), family-friendly challenges, and collaborative experiences requiring logic and creativity in timed scenarios.","Energetic, humorous, and welcoming environment with enthusiastic staff fostering a fun, supportive vibe through engaging storytelling and lighthearted interactions.",48.87008220000001,2.3353267,651243.6274746603,6863544.657890686,18
Petit Train - Porte Maillot,"Charming old-fashioned train connecting Jardin d'Acclimatation, offering scenic park views and nostalgic Parisian charm, often described as enchanting and ideal for children.","Family rides for young children, short scenic trips to avoid walking, and leisurely exploration of park attractions.","Nostalgic, tranquil, and family-friendly with a mix of pleasant staff interactions and occasional service critiques, creating an overall enchanting vibe.",48.8773513,2.2780336,647048.4584642828,6864389.825259471,19
Illucity Paris La Defense - Realite Virtuelle,"Immersive virtual reality experiences with themes like ancient Egypt, Notre Dame, and skyscrapers. Features high-quality VR games, escape rooms, and interactive adventures in a modern, tech-driven environment.","VR escape games, multiplayer missions, family-friendly VR adventures (older kids/adults), interactive exploration, and group challenges in themed scenarios.","Friendly, welcoming staff and energetic vibe. Fun and engaging for groups, though occasional overcrowding or technical issues may cause stress. Generally immersive and collaborative.",48.8907671,2.2373627,644080.01063712,6865909.604552668,20
Retro Manege de Lou,"A retro carousel located in a square, described as a 'little neighborhood ride' with occasional mentions of heat and pigeon presence. The ride is visually appealing but has operational inconsistencies.","Primarily for children to enjoy the carousel ride. Parents accompany kids, though some reviews note disruptions due to staff behavior.","Mixed experiences: some praise friendly staff and fun vibes, while others highlight rude management, chaotic pigeon issues, and frustration over inconsistent operation schedules.",48.8624075,2.3781665,654379.3058107364,6862665.689008839,21
Aquaboulevard,"Large indoor/outdoor waterpark with sand, palm trees, wave pools, lazy rivers, and multiple slides. Mixed reviews on cleanliness and maintenance. Features both recreational and sports-oriented zones, including a sports goods store.","Family-friendly water activities: slides, swimming, wave pools, lazy rivers. Ideal for kids, group outings, and casual relaxation. Some sports facilities available. Best visited during off-peak hours to avoid crowds.","Lively and chaotic, often overcrowded with long queues. Fun for families but criticized for cold water, limited seating, and occasional neglect. Mixed vibe: energetic yet stressful due to crowds and organizational issues.",48.8318042,2.2762627,646872.1587056179,6859326.625675503,22
Ecopark Adventures Moulin de Sannois,"Scenic park with lush greenery, tree-based adventure courses, zip lines, and picnic areas. Features well-maintained trails and natural surroundings suitable for outdoor activities.","Tree climbing, zip lining, adventure courses (easy to challenging), family outings, kids' activities, and picnics.","Welcoming, adventurous, and family-friendly with a mix of excitement (terrifying thrills) and relaxation. Staff are friendly, creating a warm, fun environment.",48.9698191,2.2356757,644041.4059008553,6874701.168680552,23
Escape LAB Paris,"Immersive, themed escape rooms with scenarios like military bases, submarines, and 1987. Features VR experiences, interactive puzzles, and creative storytelling across diverse settings.","Escape room challenges, team-building events, family-friendly puzzles, VR adventures, and group problem-solving games.","Energetic, fun, and welcoming with enthusiastic staff. Combines suspenseful excitement and collaborative engagement in a vibrant, immersive environment.",48.868932,2.3455778,651994.5082148536,6863410.483426701,24
Le Manege du Bon Marche (les maneges ravoire),"Charming, recently renovated carousel with Disney music, classic vehicles (buses, trains, planes), and interactive elements like a dagger game and rings to catch. Located in a park setting (Boucicaut) with nostalgic, old-world charm.","Rides for young children, family outings, interactive games (catching rings/swords), and magical moments tailored for kids. Ideal for grandparents with grandchildren or parents seeking nostalgic fun.","Warm, friendly, and cheerful with welcoming staff. Combines a nostalgic, old-fashioned vibe with Disney-themed joy. Described as 'adorable,' 'magical,' and 'pleasant,' though one review criticized it as dull.",48.851204,2.324485,650430.4079066045,6861452.31428104,25
Le Monde de Noe,"Immersive animal-themed environment with interactive exhibits, live animals, and educational displays. Features magical, intimate settings emphasizing nature and animal welfare awareness.","Interactive animal encounters, educational tours, family-friendly exploration, hands-on learning for children, and guided experiences fostering connection with nature.","Magical, harmonious, and welcoming vibe blending wonder and education. Visitors describe it as enchanting, immersive, and timeless, with a focus on animal welfare and family bonding.",48.8409367,2.3680014,653614.4527016245,6860284.251056668,26
Newtown park,"Modern indoor play area with climbing structures, slides, arcade games, and ball pits. Clean, spacious, and visually bright, though some equipment may be closed or poorly maintained. Features party zones and themed activities.","Children's play (climbing, slides), birthday parties, family outings, arcade gaming. Requires budget for paid activities (€12+ entry, extra fees for games/accessories).","Mixed: generally cheerful with attentive staff (highlighted by some), but inconsistent service quality. Can feel crowded or transactional due to high costs and occasional staff rudeness.",48.8706045,2.3091347,649322.898601606,6863619.224764169,27
Trampoline Park Paris Sud Palaiseau,"Spacious indoor area with diverse trampolines, a large slide, and secure zones. Features vibrant, well-maintained equipment suitable for various age groups.","Family outings, birthday celebrations, recreational jumping, and group events. Activities include trampolining, sliding, and supervised kids' play.","Energetic, lively, and family-friendly. Visitors highlight enthusiastic staff, a fun vibe, and a welcoming environment for both kids and adults.",48.7202987,2.261363,645662.4661971347,6846939.325155142,28
Manege 1913,"Historic, early 20th-century mechanical carousel with vintage charm near Eiffel Tower. Features hand-crank operation and preserved design. Some mention a park setting with nostalgic, magical ambiance.","Family rides on the carousel, romantic walks, historical exploration, and seasonal entertainment. Ideal for children and couples.","Mix of magical nostalgia and occasional frustration. Visitors praise its uniqueness but criticize rude staff and high prices, creating a blend of enchantment and dissatisfaction.",48.8937567,2.350889,652406.7973109743,6866167.618956028,29
Alpamare,"Indoor waterpark with varied slides, wave pools, and toddler areas. Mixed reviews mention modern attractions like thrilling slides but note outdated facilities and occasional maintenance issues. Combines fun elements with some aging infrastructure.","Sliding on water slides, family fun in wave pools, toddler play zones, and evening visits. Ideal for families, thrill-seekers, and groups. Best enjoyed during off-peak hours to avoid crowds.","Lively and energetic with family-friendly vibes, though crowded and noisy at times. Mixed hygiene perceptions; some praise cleanliness while others note unkempt areas. Staff are generally friendly, but pricing debates (overpriced vs. value) create varied experiences.",48.8575475,2.3513765,652409.466897741,6862141.109201814,30
Dodo Manege,"Steampunk-themed carousel with intricate biological and mechanical designs, featuring dinosaurs and ornate animals. Combines historical charm with quirky, artistic elements in a shaded park setting.","Riding unique carousel animals, family-friendly entertainment, photo opportunities, and enjoying shaded relaxation near a kiosk after park walks.","Whimsical and nostalgic with artistic flair, but inconsistent due to reports of rude staff behavior contrasting with moments of friendly interaction and child-focused joy.",48.8937567,2.350889,652406.7973109743,6866167.618956028,31
Freizeitpark Erlenmoos,"Diverse play areas, skatepark, bike trails, water playground, and sports facilities set in natural surroundings. Features family-friendly infrastructure and thematic zones for all ages.","Ice skating, inline hockey, biking, playground games, family gatherings, table tennis, and fire play. Suitable for sports, relaxation, and kid-focused adventures.","Relaxed, family-friendly vibe with friendly service. Offers a welcoming, clean environment and communal joy, blending active energy with cozy amenities like a warm café.",48.8575475,2.3513765,652409.466897741,6862141.109201814,32
SpeedRaceCafe,"Features Formula 1 simulators, virtual reality games, and well-maintained equipment. Some simulators noted as worn. Replaced by VR Arena, offering modern VR experiences in a spacious, clean setting.","F1 simulator racing, VR gaming, family-friendly virtual experiences, and group activities. Ideal for children and tech enthusiasts.","Friendly, lively vibe with welcoming staff. Mixed reviews on equipment quality—some find it exciting, others note wear. Overall energetic but inconsistent due to dated simulators.",48.7796955,2.4783221,661666.3247000299,6853415.814387895,33
The Quest Factory - Escape Game Paris,"Themed escape rooms with immersive settings like Cannibal Island and Druid's Bane, featuring detailed, realistic scenarios such as jungle cannibal camps and mystical druid challenges. Visuals include interactive puzzles and atmospheric decor.","Group escape games, puzzle-solving challenges, team-building activities, and immersive storytelling experiences. Ideal for friends, families, or corporate groups seeking collaborative adventures.","Thrilling, suspenseful, and energetic with a focus on immersion. Staff enhance the vibe with enthusiasm and support, creating a mix of excitement and camaraderie during high-stakes scenarios.",48.8774342,2.3544693,652654.4631828952,6864350.499345095,34
Escape Game Paris Prizoners,"Immersive themed rooms with detailed decor (cabaret, historical scenarios), challenging puzzles, and surprising interactive elements. Described as 'well-decorated,' 'original,' and featuring 'the largest escape rooms in Paris.'","Group puzzle-solving, team-building events, family adventures, and collaborative escape challenges. Ideal for friends, families, and corporate groups seeking interactive, timed missions.","Energetic, welcoming, and fun with enthusiastic staff ('awesome,' 'attentive'). Combines suspenseful gameplay with lighthearted humor in a supportive, immersive environment.",48.8597054,2.3498063,652296.2372001242,6862381.996727332,35
Montparnasse Cemetery,"A well-maintained, historic cemetery with notable tombs (Susan Sontag, Constantin Brâncuși), sculptures, and lush greenery. Features grand monuments, artistic graves, and famous figures. Described as 'stunning,' 'old with history,' and 'fascinating.'","Walking, reflecting, sketching, exploring famous graves, quiet contemplation. Visitors seek historical figures' tombs or enjoy peaceful strolls. Suitable for historical, artistic, or introspective visits.","Peaceful, serene, and contemplative. Mixes beauty with solemnity; described as 'quiet,' 'chilling,' and 'stunning.' Offers a respite from city noise with a reflective, almost eerie calm.",48.83821409999999,2.3261471,650540.0444842165,6860006.928082216,36
Cimetiere du Pere-Lachaise,"Expansive cemetery with ornate tombs, lush greenery, and famous graves (e.g., Jim Morrison). Features diverse tombstone designs, historical figures, and a mix of Gothic and modern memorials.","Guided tours, quiet walks, photography, visiting notable graves, feeding cats, and reflective exploration of art and history.","Serene, peaceful, and contemplative with a blend of reverence, beauty, and haunting tranquility. Calm yet rich in historical and emotional resonance.",48.861472,2.3934725,655501.4061522377,6862552.934405994,37
Tombe de Porfirio Diaz,"Historic tomb in Montparnasse Cemetery with a beautiful, though occasionally weathered, grave. Focuses on Porfirio Díaz, a controversial Mexican leader, blending Mexican history with cemetery aesthetics like patterned windows and enigmatic energies.","Visiting the tomb, reflecting on history, guided tours, leaving flowers, and commemorating Díaz. Appeals to Mexicans seeking cultural connections and history enthusiasts.","Contemplative and polarizing, blending reverence for Díaz's legacy with controversy. Solemn cemetery ambiance interwoven with historical intrigue and emotional resonance.",48.84031780000001,2.3254073,650487.7437945062,6860241.300500594,38
Cimetiere du Calvaire,"Smallest and oldest cemetery in Paris, featuring a historic XII-century church, tiny graves, and authentic surroundings. Described as fragile, well-maintained, and visually unspectacular but rich in history.","Guided historical visits (especially during Heritage Days), quiet admiration of the church and graves, and brief exploration of its compact layout. Limited access requires planning.","Serene, quiet, and exclusive due to restricted access. Blends historical reverence with a sense of privilege, though some visitors note unwelcoming staff or crowded moments.",48.8868433,2.3419011,651741.4073035294,6865404.341377028,39
Tomb of Serge Gainsbourg,"Simple grave in Montparnasse Cemetery, often described as small and unadorned. Focuses on Gainsbourg's legacy as a music and cultural icon, with references to his artistic persona and burial with parents.","Paying respects, contemplative reflection, visiting as part of cemetery exploration, and honoring Gainsbourg's contributions to music and art.","Solemn, reverential, and emotionally charged. Visitors experience quiet admiration mixed with personal connection to Gainsbourg's enduring cultural influence.",48.8380599,2.3265176,650567.0918198655,6859989.550711552,40
Tomb of Jim Morrison,"A modest grave in the serene, historic Père Lachaise Cemetery, surrounded by ornate tombs and greenery. Features fencing around Morrison's simple grave, coexisting with other notable figures like Oscar Wilde and Rothschild.","Pilgrimage for Doors fans, paying respects, quiet reflection, exploring the cemetery's winding paths, and listening to his music. Locating the grave is part of the experience.","Reverent and tranquil, with emotional undertones. Mixes nostalgia, melancholy, and serenity, heightened by fans' devotion and the grave's understated presence amidst grandeur.",48.8592837,2.393769,655521.2906624939,6862309.445651512,41
Grave of Marcel Proust,"A modest grave in a cemetery, near other notable writers. Minimal signage or attention, described as simple yet beautiful. Focused on literary legacy.","Paying respects, quiet contemplation, leaving tributes (e.g., roses). Reflecting on the writer's works and legacy.","Solitary, reflective, and introspective. Blends melancholy with inspiration from literary history. Quiet energy of reverence.",48.8630711,2.3949719,655612.7716462316,6862729.898112624,42
Tombstone of Edith Piaf,"A modest, simple tombstone in Père Lachaise Cemetery, dedicated to iconic French singer Edith Piaf. The grave is unassuming and blends into the cemetery's environment, reflecting her legacy as a celebrated chanson artist.","Paying respects, reflecting on Piaf's musical legacy, and locating the tomb within the cemetery. Leaving tributes (e.g., roses) as a homage.","Peaceful, nostalgic, and reverent. Visitors experience quiet reflection and emotional connection to Piaf's enduring cultural impact.",48.8596754,2.3989195,655899.5031654047,6862350.110692176,43
Montmartre Cemetery,"Historic cemetery with artistic headstones, notable tombs (e.g., Dalida), and a bridge. Features varied grave designs, lush greenery, and a small-town-like layout. Combines architectural beauty with cultural and historical significance.","Peaceful walks, exploring historic graves, photography, quiet reflection, and guided tours. Ideal for cemetery enthusiasts and history buffs seeking cultural immersion.","Tranquil, serene, and slightly eerie. Offers a calm escape with a mix of melancholy and beauty. Quiet, uncrowded, and introspective.",48.8879078,2.3298844,650861.244538264,6865530.118663846,44
Tombe de George Enescu,Gravesite of George Enescu with potential visibility challenges; minimal labeling noted in reviews. Focus on commemorating the Romanian composer.,"Paying respects, locating the grave (may require map assistance), and connecting with Romanian cultural heritage.","Respectful and commemorative, with a sense of cultural solidarity among Romanian visitors.",48.8621895,2.3918458,655382.678241902,6862633.632779707,45
Picpus Cemetery,"Small private cemetery with historical graves (Lafayette), decaying nobility tombs, Carmelite nuns' memorials, chapel, and garden. Features revolutionary-era mass graves. Closed walls and limited visibility enhance its secluded nature.","Short historical visits, paying respects to Lafayette, quiet reflection, exploring revolutionary history, and appreciating secluded green space.","Somber, serene, and contemplative. Combines decaying grandeur with peaceful calm. Slightly eerie due to isolation and historical weight, though some note unwelcoming staff interactions.",48.8440439,2.4001834,655979.0289293304,6860611.318247596,46
Recumbent Effigy of Victor Noir,"Bronze recumbent statue of Victor Noir with anatomical realism, located in Père-Lachaise Cemetery. Commemorates the journalist's death, featuring symbolic details like a bullet hole. Known for a genital-rubbing fertility ritual.","Paying respects, rubbing the statue's genital area for luck/fertility, historical reflection, photography, exploring cemetery symbolism.","Strange yet contemplative blend of reverence and curiosity. Combines solemnity with ironic humor due to the rubbing ritual, creating a mix of historical weight and playful intrigue.",48.860826,2.396593,655729.7918729696,6862479.350223712,47
Tombe de Charles Baudelaire,"Modest family grave with a brief epitaph in Montparnasse Cemetery. Described as run-down, understated, and lacking grandeur. Features Baudelaire’s tomb amid a less-maintained but historically rich cemetery setting.","Paying respects, quiet reflection on Baudelaire’s legacy, exploring lesser-known cemetery areas, leaving tokens (like rocks), and literary pilgrimage.","Somber, intimate, and contemplative. Mixes reverence for Baudelaire’s legacy with a sense of neglect. Emotional for admirers, understated rather than grandiose.",48.8398336,2.3251694,650469.8232425033,6860187.611838066,48
Saint-Vincent Cemetery,"Small, sloping cemetery with artistic graves, colorful tombs, notable figures (e.g., Michou), statues, and lush plants. Less crowded than other Parisian cemeteries, featuring historic 1831 architecture and Montmartre's hidden charm.","Quiet walks, short 30-60 minute visits, reflection, photography of graves/statues, and peaceful breaks from tourist crowds.","Serene, calm, and secluded; described as a 'haven of peace' with a restful, almost meditative vibe despite central Montmartre location.",48.8890051,2.3393459,651556.0493021976,6865646.285826508,49
Yilmaz Geney Mezari,"Gravesite with abundant flowers, simple layout, and references to Yılmaz Güney's legacy. Mentions of walls and parking challenges. Strong focus on his film 'Yol' and Kurdish cultural connections.","Paying respects, quiet reflection, cultural appreciation (watching 'Yol'), visiting nearby memorials. Easy transportation access noted.","Peaceful, respectful, and emotionally charged. Mix of solemnity (remembrance) and warmth (admiration for Güney). Some reviews highlight Kurdish pride or personal nostalgia.",48.862261,2.3881071,655108.4550525766,6862643.702050706,50
Tombe de Emil Cioran,"Minimalist grave site emphasizing philosophical and cultural heritage, reflecting Emil Cioran's legacy. Features sober aesthetics with subtle connections to ancestral and Romanian identity.","Quiet reflection, paying respects, and contemplative engagement with Cioran's philosophy. Cultural pilgrimage for Romanians seeking historical connections.","Serene, introspective, and somber. Evokes a sense of philosophical gravity and understated reverence for ancestral ties.",48.8385999,2.3284277,650707.7984575412,6860048.398777422,51
Cimetiere de Belleville,"Small, quiet cemetery with historical graves and well-maintained grounds. Features notable tombs and remnants of Parisian heritage.","Quiet walks, relaxation, and exploring historical graves. Suitable for reflective or educational visits.","Tranquil, serene, and peaceful. Offers a calm refuge from the surrounding lively area.",48.8744946,2.3993268,655941.9207539612,6863997.672353169,52
Tombe de Theodore Gericault,"Monumental tomb honoring Théodore Géricault, a renowned French painter. Features artistic simulacrum and references his iconic works like 'The Raft of the Medusa.' Located in Père-Lachaise cemetery.","Art appreciation, historical reflection, paying respects, and photographing the sculptural tomb design.","Reverent and contemplative, with admiration for artistic genius and quiet reflection on legacy.",48.8297153,2.3614088,653120.5085082755,6859040.444890145,53
Tombe d'Allan Kardec,"Simple stone tomb covered with abundant flowers, notable as the most flowery in Père Lachaise Cemetery. Features spiritual and historical significance linked to Allan Kardec.","Visiting the tomb, meditating, paying respects, reflecting on spiritual themes, and exploring cemetery history.","Calm, introspective, and reverent, with a spiritual vibe. Combines historical reverence with quiet reflection.",48.8623525,2.3943453,655566.1898405048,6862650.347699527,54
Tomb of Yves Montand,"A shared gravesite in Père Lachaise cemetery honoring iconic French-Italian actor Yves Montand and actress Simone Signoret, celebrated for their cinematic legacies.","Visiting the tomb to pay respects, reflecting on their contributions to cinema, and exploring the cemetery's cultural heritage.","Reverent and nostalgic, blending admiration for cinematic legends with a quiet, somber tone due to the site's understated or neglected appearance.",48.86193189999999,2.395558,655654.7997397732,6862602.89848524,55
Tomb of Alexandre Dumas fils,"Well-maintained tomb with original and interesting design, honoring Alexandre Dumas fils' literary legacy as a playwright and master of the pen.","Paying homage, reflecting on literary contributions, and exploring the tomb's unique architectural features.","Solemn, respectful, and quiet environment evoking contemplation and reverence for the historical figure.",48.8881083,2.3304655,650904.0439095992,6865552.051631945,56
Tombe d'Ahmet Kaya,"Grave of Kurdish-Turkish artist Ahmet Kaya in a Parisian cemetery. Features a gravestone occasionally damaged, with nearby florist. Culturally significant site reflecting political and artistic legacy.","Paying respects, leaving souvenirs/flowers, quiet reflection, photography. Visiting via metro (Gambetta station) during accessible hours.","Solemn, emotionally charged environment with reverence and grief. Undercurrents of political tension due to vandalism incidents, fostering solidarity among Kurdish/Turkish visitors.",48.8632564,2.3912569,655340.3889402536,6862752.5967851225,57
Tombe de Pierre et Helene Desproges,"Simple grave in a garden setting near Chopin's tomb, surrounded by vegetation. Features historical and poetic significance tied to Pierre Desproges.","Paying respects, quiet reflection, visiting as part of historical or literary-themed tours.","Respectful, contemplative, and slightly unusual with a poetic or solemn vibe.",48.8865009,2.3252785,650522.1709521196,6865376.555901196,58
Tomb of Amedeo Modigliani,"Simple, unremarkable tomb with three rows in the back. Features a small tree marker on the left. Joint tomb of Modigliani and his wife Jeanne Hébuterne. Epitaph 'Art is Eternal.' Associated with Montparnasse's artistic legacy.","Quiet reflection, paying respects, locating the grave via the small tree, appreciating Modigliani's artistic legacy, and reading the epitaph.","Peaceful yet somber, with a focus on quiet contemplation. Understated and humble, reflecting Modigliani's tragic story. Visitors note a mix of reverence and simplicity.",48.859793,2.3984923,655868.2602730785,6862363.425559063,59
Passy Cemetery,"Small, well-maintained cemetery with chestnut trees, sculptures, and notable tombs (Fernandel, Dassa, Professor Debus). Offers views of the Eiffel Tower. Features historical figures' graves and artistic monuments.","Quiet strolls, exploring tombs of famous personalities, viewing sculptures, and seeking graves like Togrul Narimanbekov or Emperor Bao Dai.","Tranquil, serene, and calm. Provides a peaceful escape from crowds with a respectful, reflective ambiance and historic charm.",48.8625,2.28528,647564.9728501443,6862733.64754584,60
Gentilly cemetery,"Mixed views with mentions of a great view and clean areas, but noted accessibility issues and inconsistent maintenance. Features graves and historical elements, with some visitors criticizing neglect.","Meditation, reflection, visiting graves, and childhood memory revisiting. Limited by accessibility challenges and restricted reception hours.","Mostly calm and peaceful, described as conducive to meditation, but some perceive a somber or neglected 'death atmosphere' with criticism toward management.",48.8189184,2.3511011,652353.9632987928,6857846.127689654,61
