Name,Positives,Negatives,latitude,longitude,x,y,id
Newtown Park,"Newtown Park offers a variety of engaging activities for all ages, including climbing walls, bowling, arcade games, and virtual reality experiences. The park is well-regarded for its cleanliness, friendly staff, and dedicated spaces for both children and parents. Birthday celebrations are a highlight, with attentive service ensuring a memorable experience. Anny, Rachel, and other team members are frequently praised for their professionalism and welcoming attitude.","Common complaints include high costs, lack of proper snack options, inconsistent staff rules, and cleanliness issues. Visitors reported dissatisfaction with unclear pricing structures and insufficient explanations of rules and activities. The park's treatment of external food varies, and some employees were described as unprofessional or unhelpful.",48.8706045,2.3091347,649322.898601606,6863619.224764169,28
Trampoline Park Paris Sud Palaiseau,"The Trampoline Park Paris Sud Palaiseau offers a spacious and well-supervised environment perfect for both children and teenagers. It features an array of play areas, including a large jumping space and separate section for children's parties. Visitors commend the friendly, helpful staff and the clean, organized facilities. Unique features include available lockers and on-site refreshments. Online reservations are recommended for convenience.","Some visitors find the entrance fee a bit high and noted the park's distance from central Paris. There have been isolated incidents of the park being unexpectedly closed, and issues with loud music affecting sensitive guests.",48.7202987,2.261363,645662.4661971347,6846939.325155142,29
Manège 1913,"Manège 1913 is a charming and historic carousel located near the Eiffel Tower on Champ de Mars. This all-mechanical, crank-operated ride from 1913 offers a unique, nostalgic experience. It evokes old Paris with its classic, unchanged design and is loved by children, especially for trying to catch rings with a wand. The attraction is seen as a festive Mecca, with friendly staff and an atmosphere that brings joy and a sense of heritage to visitors.","Some reviews mention dissatisfaction with certain staff members being rude or unpleasant. Additional complaints include high prices for refreshments and the presence of hawkers, which detracts from the experience. Bad weather can also result in early closures.",48.8541588,2.2999923,648636.0815617328,6861796.513545917,30
Alpamare,"Alpamare is a versatile waterpark catering to all ages and weathers, featuring thrilling slides and a mix of indoor and outdoor pools. Highlights include the Cresta Canyon and Blizzard slides, a relaxing saltwater pool, and stunning views across Lake Zurich. Visitors appreciate the park's well-maintained cleanliness and amenities, such as the sauna area and efficient public transport access.","Common complaints include high ticket prices, overcrowding, outdated facilities, and insufficient maintenance. Safety concerns on certain slides, slippery floors, and underwhelming food quality are also noted. Limited lifeguard supervision and inadequate toddler area conditions add to visitor dissatisfaction.",48.8575475,2.3513765,652409.466897741,6862141.109201814,31
Dodo Manège,"Dodo Manège is a unique carousel located in the Jardin des Plantes, with a charming steampunk design featuring extinct and endangered animals like the dodo, thylacine, and panda. It's educational, with informative boards, and offers a nostalgic ride for children and parents alike. The ride is well-loved for its imaginative design, making it a fun and memorable experience.","Common complaints include unpleasant staff demeanor and the ride not adhering to advertised opening hours. The rides are considered expensive and short, with some dissatisfaction regarding the cash-only policy for tickets.",48.8430956,2.3616996,653153.8825069608,6860528.019355799,32
Freizeitpark Erlenmoos,"Freizeitpark Erlenmoos is a family-friendly attraction with diverse activities such as playgrounds, a skatepark, mini mountain bike courses, and various sports fields including football and hockey. Visitors enjoy the option to have picnics or barbecues and appreciate the free entrance and extensive fun for all ages. The park also features a cafe and a restaurant with delicious, reasonably priced food, making it perfect for family weekends.","Some visitors mention that the park can get muddy after rain, and there are complaints about a lack of shaded areas during summer. Additionally, some staff are noted as being a bit rude or abrupt.",48.8575475,2.3513765,652409.466897741,6862141.109201814,33
SpeedRaceCafe,"SpeedRaceCafe offers a friendly atmosphere with extremely welcoming staff. The attraction includes a wide range of activities for both children and adults, including F1 and rally simulators, simulation games, and a football stadium. The venue is known for its affordability, spaciousness, cleanliness, and child-friendly features. Additionally, it hosts birthday parties and provides a pleasant selection of virtual reality experiences. The place has a drinks bar and is situated in a quiet location, providing an enjoyable experience for all ages.","Some visitors expressed dissatisfaction with worn-out F1 simulators, citing mechanical issues like difficulty with gear changes. Additionally, a reviewer mentioned disappointing value for the F1 simulator at €15 for 10 minutes with less-than-stellar customer service. Several other reviews indicated the closure and replacement of SpeedRaceCafe with a dinosaur-themed games room.",48.7796955,2.4783221,661666.3247000299,6853415.814387895,34
The Quest Factory - Escape Game Paris,"The Quest Factory offers immersive and thrilling escape rooms like Cannibal Island and Druid's Bane, praised for their detailed settings, engaging puzzles, and special effects. Game masters like Thibault and Oriane enhance the experience, guiding participants through well-crafted stories. The attraction is accessible in both English and French, appealing to both beginners and seasoned escape room enthusiasts. Visitors appreciate the friendly and passionate staff, making it a memorable and interactive adventure. Located conveniently, it adds a unique touch to the Parisian experience.","Some visitors found the lighting in the Druid's Bane room inadequate, hindering visibility. A few puzzles seemed disconnected from the theme, and there were mentions of excessive game master intervention, which affected the flow of the experience. Language barriers occasionally impacted the depth of immersion for English-speaking players.",48.8774342,2.3544693,652654.4631828952,6864350.499345095,35
Escape Game Paris Prizoners,"Escape Game Paris Prizoners offers an immersive escape room experience with well-decorated settings and detailed themes, such as 'Le Cabaret des Deux Mondes' and the 'Bastille' scenario. The atmosphere is authentic to early 20th-century Paris, and the engaging puzzles provide great family and team-building fun. The staff is generally friendly and professional, contributing to a welcoming environment. The establishment is considered the largest in Paris with numerous rooms, providing varied and sophisticated puzzles.",Some reviewers mentioned issues with game master organization and inconsistency in briefing quality. Occasional logistical errors led to awkward situations between groups. Others noted that certain puzzles were overly complex or illogical. Concerns were also raised about inflexible cancellation policies and lack of managerial sympathy.,48.8597054,2.3498063,652296.2372001242,6862381.996727332,36
Montparnasse Cemetery,"Montparnasse Cemetery is a serene and beautifully maintained site in Paris, known for its elaborate and artistic tombs. Visitors appreciate the peace and tranquillity as they explore graves of notable figures like Jean-Paul Sartre, Simone de Beauvoir, and Serge Gainsbourg. The cemetery offers well-marked maps at entrances for ease of navigation and showcases fascinating funerary architectures. Beyond prominent figures, the space is loved for tranquil strolls, offering scenic greenery and historical depth amidst modern Paris.","Some visitors find it challenging to locate specific tombs despite available maps. Others feel the site, while historical, doesn't warrant a detour due to other attractions.",48.83821409999999,2.3261471,650540.0444842165,6860006.928082216,37
Cimetière du Père-Lachaise,"Père-Lachaise Cemetery offers a serene experience with its cobblestone paths, mature trees, and ornate tombs. It acts as an open-air museum, home to famous figures like Jim Morrison and Oscar Wilde. Visitors enjoy the peaceful strolls, rich history, and stunning views, especially in autumn. The cemetery is vast, requiring maps for navigation, with diverse architectural styles that captivate art and history enthusiasts alike.","Visitors mentioned the discomfort of cobblestone paths for those with mobility issues. Some sections were difficult to navigate, and bathrooms were noted as unclean. Occasionally, unsolicited guides sought tips, causing discomfort for some visitors.",48.861472,2.3934725,655501.4061522377,6862552.934405994,38
Tombe de Porfirio Diaz,"The tomb of Porfirio Diaz, located in Montparnasse Cemetery, offers a serene atmosphere to reflect on a key figure in Mexican history. Visitors appreciate its historical significance, as Diaz was instrumental in Mexico's industrialization and foreign investment. The cemetery is beautifully maintained, and the tomb features significant Mexican symbolism, making it a recommended visit for history enthusiasts.","Visitors have noted difficulties in locating the tomb due to tree foliage obscuring it. Some express disappointment that Diaz's remains haven't been repatriated to Mexico, and mention the need for clearer windows to view the grave's interior.",48.84031780000001,2.3254073,650487.7437945062,6860241.300500594,39
Cimetière du Calvaire,"The Cimetière du Calvaire is Paris' smallest and one of its oldest cemeteries, offering a serene atmosphere with a beautiful view of Sacré-Cœur. It is adjacent to the historic Saint-Pierre de Montmartre church and is open only on special occasions like All Saints' Day. Visitors appreciate the tiny, authentic feel and the rich history dating back to the Merovingian period.","Access is extremely limited, open only once a year or during Heritage Days, leading to disappointment. Some visitors experienced unfriendly encounters, and there are issues with welcoming procedures.",48.8868433,2.3419011,651741.4073035294,6865404.341377028,40
Tomb of Serge Gainsbourg,"The Tomb of Serge Gainsbourg, located in Montparnasse Cemetery, serves as a moving and contemplative site for music and cinema enthusiasts. Visitors appreciate the homage paid through small gestures like cigarettes and metro tickets. Gainsbourg is remembered as a genius of words and music, and the simple grave honors his legacy alongside his parents. It is a place of nostalgia and respect for a timeless artist, with his heritage still alive through tributes and his house open nearby to the public.","Some reviews mention an unpleasant odor near the grave, but no additional significant complaints are highlighted by visitors.",48.8380599,2.3265176,650567.0918198655,6859989.550711552,41
Tomb of Jim Morrison,"The Tomb of Jim Morrison, located in the picturesque Père Lachaise Cemetery, offers a serene and reflective atmosphere. The cemetery itself is a spectacular mosaic of historical and artistic significance, featuring tombs of many renowned personalities. Visitors often find themselves immersed in a spiritual and emotional experience, especially fans of Jim Morrison and The Doors, who visit to pay their respects. The site promises a tranquil walk through beautiful gothic landscapes, which many describe as a pilgrimage, with the added charm of Parisian history and culture.","Visitors express dissatisfaction with the protective fence surrounding the grave, which restricts close access. Additionally, the state of the grave has been impacted by vandalism, and the nearby tree is wrapped in chewing gum. Frequent issues with directions and map inaccuracies lead to frustration when finding the site. The grave's simplicity, amidst more elaborate ones, along with its hidden location and crowds of fans, also contribute to a less than ideal experience.",48.8592837,2.393769,655521.2906624939,6862309.445651512,42
Grave of Marcel Proust,"The Grave of Marcel Proust in Père Lachaise cemetery offers a peaceful and timeless atmosphere for reflection. The simple, elegant tombstone of dark marble bears only his name and lifespan, highlighting its reserved nature. Visitors honor Proust's impactful work with flowers, notes, and mementos. The site is surrounded by trees and other graves, enhancing its tranquil and contemplative environment. It is a poignant reminder of Proust's exploration of time, memory, and human experience.","Some visitors note the grave of Marcel Proust receives less attention than those of other notable writers in Père Lachaise, such as Oscar Wilde. This may reflect a desire for more recognition or commemoration at the site.",48.8630711,2.3949719,655612.7716462316,6862729.898112624,43
Tombstone of Edith Piaf,"The tomb of Edith Piaf at Père Lachaise offers a simple yet moving tribute to the iconic singer, with a modest black marble gravestone engraved in gold. Surrounded by flowers and souvenirs, it embodies her legacy, family importance, and deep connection with fans. Visitors experience a serene atmosphere, invoking reflections on Piaf's life and music, particularly songs like 'La Vie en Rose.' The site remains a powerful symbol of inspiration and musical heritage, attracting numerous tourists who commemorate her lasting influence.","The tomb can be challenging to find, not being in the expected location but in the second hallway on the avenue. Despite its quiet placement on the east side of the cemetery, it can still be surprisingly crowded with tourists.",48.8596754,2.3989195,655899.5031654047,6862350.110692176,44
Montmartre Cemetery,"Montmartre Cemetery offers a serene escape from the bustling city, with winding paths and lush greenery. The site is rich in history, housing famous figures like Adolphe Sax and Dalida. Visitors appreciate its artistic tombs and sculptures, creating an open-air museum atmosphere. It's a peaceful locale for reflection, featuring unique graves and feral cats, adding to its charm. Entry is free, and it provides a quieter alternative to more crowded cemeteries like Père Lachaise.","Visitors mention navigation challenges due to its maze-like design, with only one main entrance/exit. Some find it difficult to locate specific graves, and there's mention of unpleasant smells and feral cats.",48.8879078,2.3298844,650861.244538264,6865530.118663846,45
Tombe de George Enescu,"The Tombe de George Enescu is noted for its well-maintained resting place, marked on the map for easy location. Sunlight graces the grave, adding a serene touch, and visitors express eternal gratitude to the renowned Romanian artist, underscoring a sense of reverence and cultural pride.","Concerns were raised about the artist's name being engraved as 'George Enesco' instead of 'George Enescu,' which some see as neglecting Romanian roots. Additionally, the need for better signage directing visitors to the grave was mentioned.",48.8621895,2.3918458,655382.678241902,6862633.632779707,46
