id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNQdGVMTkpnEAE,Birding+++,a month ago,2025-01-24 12:40:03.987098,5.0,Thomas Stafford,40,https://www.google.com/maps/contrib/111193285779900523008/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURVaWFhTm93RRAB,"Small oasis in this urban jungle. Quite well maintained given the surface area and the number of walkers/runners/cyclists who cross it. Very good spot for running, the course is large and pleasant. Small downside on the number of trash cans available.",5 years ago,2025-01-24 12:40:03.993099,4.0,Julie,321,https://www.google.com/maps/contrib/102361877022123801105/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ1eWYzY2VBEAE,"Very pleasant walking route around the lake, many birds. Boat rental, refreshment bar and catering nearby.",a year ago,2025-01-24 12:40:03.994100,4.0,Bruno Barbereau,152,https://www.google.com/maps/contrib/101844303271670467862/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5X0xmR2ZBEAE,"Very pretty park with ducks, swans and other moorhens. Pleasant in all seasons.",3 years ago,2025-01-24 12:40:03.994100,5.0,Marion G,154,https://www.google.com/maps/contrib/108116806303043095812/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNHLW8yOTVnRRAB,"Very pleasant place, I highly recommend this lake",3 years ago,2025-01-24 12:40:03.994100,4.0,elu 06,25,https://www.google.com/maps/contrib/112838157098681513747/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNIdE1UdWNBEAE,Much quieter than Lake Daumesnil 😀 …,4 months ago,2025-01-24 12:40:03.995099,5.0,Olivier Diguet,0,https://www.google.com/maps/contrib/102780958323317213236/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURadWNpTzJRRRAB,"I have been going to Lac des Minimes for over 30 years, young people, mother and grandmother. But what a shame!!!!! Impossible to park.  No parking possible. Great ecology but a minimum even!",a year ago,2025-01-24 12:40:03.995099,1.0,Flower 9366,37,https://www.google.com/maps/contrib/111340210280827722747/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURYX0tiQzVRRRAB,Perfect for walking or jogging,2 months ago,2025-01-24 12:40:08.130781,5.0,antoine ginekis,0,https://www.google.com/maps/contrib/103144646124675383737/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrNjZmQ2dBRRAB,A beautiful bike ride😄 …,5 years ago,2025-01-24 12:40:08.131785,4.0,Irina K,436,https://www.google.com/maps/contrib/104523316932894185446/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0MmRua1lREAE,A beautiful place to walk around. A place where you can find a confectionery to quench your thirst and even enjoy an ice cream. You can also take a boat trip (for 1 and 2 people: 10 euros per hour). There are lots of ducks and geese there. It's very nice,5 years ago,2025-01-24 12:40:08.131785,4.0,Aurélie Gublin,90,https://www.google.com/maps/contrib/110721827933160342601/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSanQ3V1RREAE,A beautiful and quiet place Possibility of boating or simply walking around the lake There is even the possibility of drinking a coffee or eating a pancake,a year ago,2025-01-24 12:40:08.132782,5.0,Virginie Francis,0,https://www.google.com/maps/contrib/110986008487057105306/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnak9IN1RREAE,"With spring arriving, it's the ideal place to enjoy the first rays of sunshine.",7 years ago,2025-01-24 12:40:08.133782,5.0,Pierre Revel,79,https://www.google.com/maps/contrib/116465798300125561644/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN4bXF6VUxREAE,"Calm lake perfect for relaxing, walking your dog or simply taking a clean, quiet walk, to visit during the week for less crowds..",a year ago,2025-01-24 12:40:08.133782,5.0,Mantis Namo,3,https://www.google.com/maps/contrib/111346714466844175471/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNDaXZ2SFN3EAE,Nice corner of greenery close to Paris,4 years ago,2025-01-24 12:40:08.134782,5.0,Erika Kao,27,https://www.google.com/maps/contrib/117038735829397816133/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURad2VySjdRRRAB,"No, impossible to park! No parking, not even for the disabled! Nor for the elderly! 0/10. Bus corridor! Pfff",a year ago,2025-01-24 12:40:08.134782,1.0,Christiane,0,https://www.google.com/maps/contrib/105764683544767156874/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURndkw3MERREAE,"Top ! Lots of shaded spaces, lawns, benches, beautiful landscape, ... even WC seem to be available. Carousel, sale of ice cream and helium balloons, pony rides, boat rentals. Boat at an attractive price for a good trip, great staff, no waiting and explanations for rowing 😀 to see several islands, ducks, geese, moorhens on the water. For pony rides, registration list for long rides and without waiting for the baptism (small tour for little ones), the employee was super cheerful and helpful. Very good outing!",6 years ago,2025-01-24 12:40:08.134782,5.0,Laura Lau,58,https://www.google.com/maps/contrib/104224978115433314601/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2MDlfc2NBEAE,"Despite Google's blocking, I have nothing to add or take away from my comment which is in no way defamatory or offensive. You ask me for my opinion, I give it, and I believe I am authorized to do so since I worked at this place. Very beautiful NAPOLEON III period chalet classified MH. But where has the romantic style terrace material gone? I spent time there in the 70s/75s. Before its descent into hell due to disastrous management, it was a good class restaurant with a real cuisine menu and professional staff.  It has become a fair stand, which certainly corresponds to the current clientele. Sad times! A star for the place which is truly magnificent in all seasons.",a year ago,2025-01-24 12:40:08.135783,1.0,pierre-richard ferigo,35,https://www.google.com/maps/contrib/100429586466824551557/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURLbEt2bW5RRRAB,Lovely lake in the middle of the Bois de Vincennes...very relaxing with lots of little places to relax in complete peace...! You can get there by bike or on foot but there is also a bus stop not far away and by car of course....,3 years ago,2025-01-24 12:40:12.331518,5.0,Fred Booker,495,https://www.google.com/maps/contrib/115485660678768601234/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnZ1l1NFVBEAE,"Very beautiful, peaceful setting and easy to access. I like to walk there with my dog ​​or have picnics with friends.",6 years ago,2025-01-24 12:40:12.332521,5.0,Zoé,116,https://www.google.com/maps/contrib/113394838712615047757/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN3MC1iMWpBRRAB,"Lake easy to access, either on foot from the Château de Vincennes metro, or bus 112, Tremblay stop, tour of the lake, benches and a restaurant with table and chairs, or sweets, pancakes, ice cream, coffee, beer, sausage , fries, On the other hand, no toilets, because it is located in the Bois de Vincennes",6 years ago,2025-01-24 12:40:12.332521,4.0,Ruchla,193,https://www.google.com/maps/contrib/105876717368644080917/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURldi1PZVN3EAE,"Magnificent place in the heart of the surprising and very lively Bois de Vincennes, I recommend it for a family walk.",2 years ago,2025-01-24 12:40:12.333510,5.0,Toni Saigleghzal,93,https://www.google.com/maps/contrib/106030740668700194000/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNRbXFIdGpBRRAB,"For walkers, beautiful path traced around the lake. For romantics, when the weather is nice, boats are available",7 years ago,2025-01-24 12:40:12.333510,4.0,Patricia Brunet,15,https://www.google.com/maps/contrib/111352679273996358347/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnakl1WFNBEAE,"One of the four lakes or ponds of the Bois de Vincennes (the others being those of Saint Mandé, Daumesnil and Gravelle). Shaped like a half-moon, it is surrounded by a circular road closed to vehicles where many runners and cyclists stroll. With an area of ​​6 ha, it has three islands (the Isle of Porte-Jaune, the North Island, the South Island). Its name comes from the fact that this area was occupied by monks of the order of Minimes (the very small ones). Many birds live in this place: ducks, swans, moorhens, geese, Canada geese...",6 years ago,2025-01-24 12:40:12.334510,5.0,Teletub Astyanax,"1,252",https://www.google.com/maps/contrib/107374653406522241408/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBaVl2akpnEAE,"Charming place which offers many water activities (except swimming). Also ideal for runners - personally, this is where I calculate my VMA by going around the lake.",7 years ago,2025-01-24 12:40:12.334510,5.0,g gu,218,https://www.google.com/maps/contrib/111582817007530651107/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURPaEp6cG5nRRAB,"Magnificent setting ideal for a family walk, with the dog. Lots of jogging",2 years ago,2025-01-24 12:40:12.335510,5.0,Emilie Fernandez,28,https://www.google.com/maps/contrib/111730647905689916026/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM2cm9feDJBRRAB,Very beautiful waterfall. The layout of the paths has been improved. Very pleasant walk.,3 years ago,2025-01-24 12:40:12.335510,5.0,Joëlle Levy,78,https://www.google.com/maps/contrib/109725891329423900998/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBeDkyX3pRRRAB,Very beautiful lake for a walk or mountain bike ride. I really like this place because it's really calm!,7 years ago,2025-01-24 12:40:12.336510,5.0,Monsieur Julien,466,https://www.google.com/maps/contrib/118077500955084829302/reviews?hl=en
