id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURQeWRtVHRBRRAB,One of the shorter bridges across the Seine in the main tourist area close to Notre Dame.,3 weeks ago,2024-12-28 15:16:12.698796,5.0,Mike Day,280,https://www.google.com/maps/contrib/101631451196518773367/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURvMS15VUxBEAE,"Ok, so this is your average Parisian bridge. But I don't know how, I was never (I really mean it, never) disappointed by the street musicians over there. From someone literally stealing Freddy's voice to the dog man (actually a dog singing with a man on his side, mind you) I am always fascinated and transposed to another dimension. Obviously, I'm exaggerating a bit, but you get the point.",5 years ago,2024-12-28 15:16:12.703797,5.0,Adriana Н,340,https://www.google.com/maps/contrib/115634124262720002299/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZaTVxUXhRRRAB,"A must see if you visit Paris. An impressive sport event has been organized last summer there, probably more activities to see this summer.",5 years ago,2024-12-28 15:16:16.842487,5.0,Chris Thai,81,https://www.google.com/maps/contrib/109941945623364562038/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZdlB1QzlnRRAB,Beautiful landmark on the river Seine with stunning views on the Eiffel tower and russian cultural center . Perfect spot for taking pictures,5 years ago,2024-12-28 15:16:16.842487,5.0,Federica C,"1,093",https://www.google.com/maps/contrib/116390259911241906468/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ5NU1QQmpRRRAB,Beautiful place,9 months ago,2024-12-28 15:16:16.842487,5.0,Marcus Cox,416,https://www.google.com/maps/contrib/116306692619422638295/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnMEtDeFZ3EAE,"A beautiful bridge between hotel de Ville and île de la cité. The view is great. Seine remains on flood alert, here are some pics.",6 years ago,2024-12-28 15:16:16.843487,4.0,A T,252,https://www.google.com/maps/contrib/112822123508981589505/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNwbmNUYm9RRRAB,Beautiful and classical. It really is a time machine as soon as you get to see it.,a year ago,2024-12-28 15:16:16.843487,5.0,Mitchell “Bro Fro” Gar,66,https://www.google.com/maps/contrib/114959441738570078332/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURNMi1XTm1nRRAB,"The Pont d'Arcole is a bridge in Paris over the River Seine. It is served by the Metro station Hôtel de Ville. The need for a bridge communicating between place de had been felt for years. he first two years of its life, its present name - according to the most generally accepted hypothesis - comes from the Battle of the Bridge of Arcole, in which Napoleon personally led a charge waving the tricolour and defeated the Austrians in 1796. The other hypothesis is that a young republican killed in the ""Three Glorious Days"" of the July Revolution - cut down as he planted the tricolour - cried ""Remember that I am called Arcole"" just before his death, presumably as he was imitating Bonaparte's action.",4 years ago,2024-12-28 15:16:16.843487,5.0,BHARATH KUMAR HODEPALLY,768,https://www.google.com/maps/contrib/116176180670586522097/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRaXBHZzhRRRAB,"Best place to take widescreen pictures. Well designed bridge, proper walking area in both side.",7 years ago,2024-12-28 15:16:16.843487,5.0,Dhiresh Mistry,693,https://www.google.com/maps/contrib/113944334033609140610/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvbWNmMTd3RRAB,For interested in somethings got to give its a must visit,6 years ago,2024-12-28 15:16:16.844487,5.0,gerard brown,45,https://www.google.com/maps/contrib/110050155868310429836/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURwNDRtQWxnRRAB,Best place in Paris to sit on a bench and watch the sunset.,a year ago,2024-12-28 15:16:16.844487,5.0,Hossein Mosaferi,169,https://www.google.com/maps/contrib/113337657377102484046/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0OEktR1N3EAE,"This is a magical place, Paris itself is pretty beautiful but this is like a secret place that has perfect places to take pictures",4 years ago,2024-12-28 15:16:16.844487,5.0,Edmir Marcelo Neves Ferreira,52,https://www.google.com/maps/contrib/107465538525113104566/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5eGN2SlBREAE,Nice!,3 years ago,2024-12-28 15:16:21.059355,5.0,Roman Tatarchuk,452,https://www.google.com/maps/contrib/102129141089821145195/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNSM0lqek13EAE,Beautiful views of the river.  Very busy area,a year ago,2024-12-28 15:16:21.059355,5.0,Gillian Scott,52,https://www.google.com/maps/contrib/102556748865989236174/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBd3NiNHF3RRAB,Simple but beautiful bridge with Parisian style and great view over the Seine and Hotel de Ville,8 years ago,2024-12-28 15:16:21.059355,4.0,Ricko Leung,67,https://www.google.com/maps/contrib/105376290380563350220/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURZaHNDR0NBEAE,Lovely and romantic view,5 years ago,2024-12-28 15:16:21.060356,4.0,Ynod NO,190,https://www.google.com/maps/contrib/114501494567558402098/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxdGNXSkpBEAE,Very nice experience with my family. A natural walk without any disturbance.,3 years ago,2024-12-28 15:16:21.060356,5.0,Jeet Singh Turan,191,https://www.google.com/maps/contrib/110327289114886007723/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNsNjhINnFnRRAB,Great spot,a year ago,2024-12-28 15:16:21.060356,5.0,Ermest Sollaku,903,https://www.google.com/maps/contrib/102626758967550031193/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURVaXNPekN3EAE,Very nice surroundings but Notre dame still has work going on with the chance of it collapsing so couldn’t enter.,5 years ago,2024-12-28 15:16:21.061355,4.0,Amy,27,https://www.google.com/maps/contrib/109579591566426427469/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN1XzR1ZzFnRRAB,One of many beautiful bridges in the center of Paris.,2 years ago,2024-12-28 15:16:21.061355,5.0,Heart,780,https://www.google.com/maps/contrib/105807079222987547905/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNlMnJtU21BRRAB,I cant take my eyes off to it Beautiful Nice artwork,2 years ago,2024-12-28 15:16:21.061355,5.0,Ramn Jossan,387,https://www.google.com/maps/contrib/107468225295354230158/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3NS1ybVZREAE,nice spot to take pictures of seine and typical parisian rue,7 years ago,2024-12-28 15:16:21.061355,5.0,Michelle Theodore,58,https://www.google.com/maps/contrib/104778767654086602952/reviews?hl=en
