id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQzeHNlQnhBRRAB,Great art space,a month ago,2024-12-28 15:43:26.367974,5.0,Ronald Bos,265,https://www.google.com/maps/contrib/114903730778284185774/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUN5dTk3UkN3EAE,"Super nice gallery to visit, it takes about 15 minutes to break everything down but it's worth it",3 years ago,2024-12-28 15:43:30.496523,5.0,L (fountainblue),5,https://www.google.com/maps/contrib/113857839582590302134/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRdGJlU0ZREAE,"High-level exhibitions, very good artist portfolio. Very nice space.",9 years ago,2024-12-28 15:43:30.496523,5.0,Samy Mantegazza,109,https://www.google.com/maps/contrib/111967764096391884598/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvelpyM2hRRRAB,Very nice gallery.  With striking and very interesting tables,5 years ago,2024-12-28 15:43:34.635302,5.0,raissa maquilleuse,20,https://www.google.com/maps/contrib/106946981338979903944/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURjNWZyb1dBEAE,A well-known gallery specializing in solo exhibitions of established artists,4 years ago,2024-12-28 15:43:34.635302,5.0,H R (Icarus),213,https://www.google.com/maps/contrib/104326039461214406311/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBeFpMQkFREAE,"Very beautiful, spacious gallery at the back of the courtyard. Renowned artists.",7 years ago,2024-12-28 15:43:34.636302,4.0,Philippe Verger,21,https://www.google.com/maps/contrib/110193287515092066743/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5NC15UU13EAE,Extraordinary gallery. Always with great exhibitions,3 years ago,2024-12-28 15:43:34.636302,5.0,Agnès E,325,https://www.google.com/maps/contrib/116148479030353779586/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNLNEozWU9BEAE,Lovely exhibition,3 years ago,2024-12-28 15:43:34.636302,5.0,Le Huang,334,https://www.google.com/maps/contrib/106271998205452501999/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNzcjRHbnl3RRAB,"Beautiful place, demanding exhibitions.",4 years ago,2024-12-28 15:43:34.636302,4.0,Chouteau-Matikian Hélène,110,https://www.google.com/maps/contrib/101773603658959735441/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN5MTRTdzRBRRAB,Superb place. To see without fail.,3 years ago,2024-12-28 15:43:34.637302,5.0,Bernard Leroux,159,https://www.google.com/maps/contrib/108165752761900398227/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURDdVl2ejJBRRAB,Discovery of an artist. Very nice meeting,4 years ago,2024-12-28 15:43:34.637302,5.0,Odile Bourges,42,https://www.google.com/maps/contrib/107596560561590674574/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQtOGRyaEJ3EAE,Very nice exhibition,2 years ago,2024-12-28 15:43:34.637302,4.0,LDTCH TV,184,https://www.google.com/maps/contrib/104872376698899585871/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5azhISURREAE,Beautiful exhibition After by Christian Boltanski,3 years ago,2024-12-28 15:43:34.637302,5.0,FRANCOIS XAVIER ROBERT,625,https://www.google.com/maps/contrib/114072128675761981249/reviews?hl=en
