id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNMdkltdWRREAE,Awesome indian food. This kind of food I didn't taste in paris.,7 months ago,2025-01-24 11:57:33.033892,5.0,Ankita Verma,0,https://www.google.com/maps/contrib/106834695644304845537/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUN3cWFxRWxBRRAB,They make delicious couscous on Tuesday lunchtime! there is quite a choice of hot dishes and a few salads. lots of desserts. I really like their cannelés. the cashier/owner is just adorable and the saleswoman can be too if you know how to talk to her. good place for inexpensive takeaway meals for the neighborhood.,11 years ago,2025-01-24 11:57:33.039894,3.0,Samantha Bourgis,60,https://www.google.com/maps/contrib/102628052473361305470/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBb3VUZFRnEAE,"Nutritious dishes at fair prices but only to take away. Dilemma: it ends up costing you three times what it would have cost you to do it yourself, but half as much as at a restaurant...",8 years ago,2025-01-24 11:57:33.039894,3.0,J. D.,513,https://www.google.com/maps/contrib/109385919124112841442/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1ck1iS3ZnRRAB,Perfect for a lunch on the go without breaking the bank while still eating good food…. A few steps from the Champs Élysées,2 years ago,2025-01-24 11:57:33.040892,4.0,Cel’ V,24,https://www.google.com/maps/contrib/105152273943647167197/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNncDZMME9BEAE,"The service people are very helpful, affordable prices and excellent food quality!! Very clean establishment!",8 years ago,2025-01-24 11:57:33.040892,5.0,Eden Touati,94,https://www.google.com/maps/contrib/107366539860339462407/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQyNWVlLUNREAE,"Acceptable food, good portion and very good price for how expensive it is to eat near the Champs Elysées avenue.",2 years ago,2025-01-24 11:57:33.041893,5.0,nicolas porras,22,https://www.google.com/maps/contrib/109288249691262275430/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMtb0tMY3V3RRAB,Good surprise Very good and inexpensive for the sector Fast service,2 years ago,2025-01-24 11:57:33.041893,4.0,Martin Paul,111,https://www.google.com/maps/contrib/104140290329995696736/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURtMXFuWWRREAE,"Superb welcome, perfect for lunch breaks",2 years ago,2025-01-24 11:57:33.042893,5.0,R Jrnt,39,https://www.google.com/maps/contrib/100254887938772923054/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURvZ0lpWE53EAE,"Fast food concept with ready meals, top notch!",5 years ago,2025-01-24 11:57:37.151632,4.0,Josée BOYELE,37,https://www.google.com/maps/contrib/100159728376688345173/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRbmNlU0xnEAE,Ready to take away perfect if you work nearby.,6 years ago,2025-01-24 11:57:37.152633,5.0,Zoheir Ojeil,1,https://www.google.com/maps/contrib/104781982241769642428/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM2bWF5bWd3RRAB,,3 years ago,2025-01-24 11:57:37.152633,4.0,A M A,32,https://www.google.com/maps/contrib/110474724046427594234/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURJN05HMWhnRRAB,Friendly staff.,6 years ago,2025-01-24 11:57:37.153633,4.0,Rania,53,https://www.google.com/maps/contrib/104315473911212728867/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2dUx5M2NBEAE,,3 years ago,2025-01-24 11:57:37.153633,5.0,Yousif Alali,76,https://www.google.com/maps/contrib/107760020339430100868/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM2X1B2OWhnRRAB,,3 years ago,2025-01-24 11:57:37.154634,5.0,Guillaume d'Armaillé,24,https://www.google.com/maps/contrib/113801018605334950957/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURVNTZfNWRBEAE,,5 years ago,2025-01-24 11:57:37.154634,4.0,Iharinirina Randrianarivony,179,https://www.google.com/maps/contrib/117821862283742313849/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURra3RfZk9BEAE,,5 years ago,2025-01-24 11:57:37.155634,2.0,Samir Kaudeer,5,https://www.google.com/maps/contrib/105558051753401893334/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM0c2Zqb0VnEAE,,5 years ago,2025-01-24 11:57:37.155634,4.0,Tammy Hernandez (Tammyhtherealtor),385,https://www.google.com/maps/contrib/114497600307291482995/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUM0NU56SG9RRRAB,,5 years ago,2025-01-24 11:57:37.155634,5.0,M R,32,https://www.google.com/maps/contrib/109197503350534984733/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvOHVDLTJBRRAB,,5 years ago,2025-01-24 11:57:41.268834,4.0,Joël VIGLO,20,https://www.google.com/maps/contrib/111783887375248666442/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURJeDhDMTdBRRAB,,5 years ago,2025-01-24 11:57:41.269836,5.0,philemon,31,https://www.google.com/maps/contrib/106629382239581985424/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRN01MMVJ3EAE,,6 years ago,2025-01-24 11:57:41.269836,4.0,Vincent Brebion,3,https://www.google.com/maps/contrib/107792878983688463436/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBNDVYQWRREAE,,7 years ago,2025-01-24 11:57:41.270838,5.0,Kevin Grt,35,https://www.google.com/maps/contrib/111118846400704015384/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN3dV9xZV9BRRAB,,7 years ago,2025-01-24 11:57:41.270838,2.0,Benwa Paris,27,https://www.google.com/maps/contrib/118078546667281155923/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBMUpicmV3EAE,,7 years ago,2025-01-24 11:57:41.271838,5.0,Alain Mahfouz,0,https://www.google.com/maps/contrib/100374855321733110437/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBNEstRGF3EAE,,7 years ago,2025-01-24 11:57:41.271838,4.0,Mathieu MANGARON,7,https://www.google.com/maps/contrib/105596930558069659492/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURReWNXYVl3EAE,,8 years ago,2025-01-24 11:57:41.272835,5.0,didier ravalet,0,https://www.google.com/maps/contrib/110478130982759401257/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRelpMZ1lnEAE,,8 years ago,2025-01-24 11:57:41.272835,3.0,Ibrahim Almnea,336,https://www.google.com/maps/contrib/117473839948344239913/reviews?hl=en
