id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNIazc2eGZnEAE,The structure is  picturesque. The atmosphere is peaceful.,6 months ago,2025-03-15 22:00:34.198832,5.0,Promothes Baruah,82,https://www.google.com/maps/contrib/103977827296893398165/reviews?hl=en-US
ChdDSUhNMG9nS0VJQ0FnSUNsOU9DQzlnRRAB,"Local history, interesting exhibition until the end of January. Avoid Saturday because the wedding hall is very busy",a year ago,2025-03-15 22:00:34.204909,5.0,Jean Pierre CONET,120,https://www.google.com/maps/contrib/116874886446006184536/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ2aHAtOHlnRRAB,"A small exhibition on Napoleon which does not lack appeal. A very interesting collection of Rueille life, its inhabitants and famous people. Without forgetting the emblematic places of the city. To discover!",3 years ago,2025-03-15 22:00:34.205909,4.0,Philippe Segal,147,https://www.google.com/maps/contrib/117321350874248449081/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNseGNYUldBEAE,"Here is a museum which is located in the old town hall and which relates a multitude of very fascinating subjects, a must-see in this provincial town on the outskirts of Paris 👍",a year ago,2025-03-15 22:00:34.205909,5.0,Jean-Michel Graff,407,https://www.google.com/maps/contrib/102559347072960943308/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZeVlfVDJnRRAB,"Very very nice place. We were there for a wedding which took place in very good conditions, it was really good and beautiful. There are beautiful things to see but you would have to take the time to visit calmly and the opportunity for us did not lend itself to that.",5 years ago,2025-03-15 22:00:34.206909,4.0,Angelique Pasionek,134,https://www.google.com/maps/contrib/107999038376518279508/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNxaGF5by13RRAB,"A small museum, but very nice. It brings us closer to the history of Rueil-Malmaison in a historical setting. Free access and very friendly welcome.",3 years ago,2025-03-15 22:00:34.206909,5.0,Thomas Le Guay,62,https://www.google.com/maps/contrib/106630720338299203824/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURZc0lqZHZnRRAB,"Very beautiful place and very interesting as a museum. Filled with history and also used for weddings, this old town hall is very beautiful and very rich.",5 years ago,2025-03-15 22:00:34.207910,5.0,Martin Stehlé,69,https://www.google.com/maps/contrib/100829313747899826608/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURYbE96QUpREAE,Exceptional setting in the heart of Rueil-Malmaison.,4 months ago,2025-03-15 22:00:34.207910,5.0,Jean Pierre Dumoulin,109,https://www.google.com/maps/contrib/102546965354020561269/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNzMktXcENnEAE,Very beautiful view of Damage Avenue when I called the fire brigade they didn't take me to the hospital!  And in Puy-en-Velay they didn't get my French identity document! 😣 …,5 years ago,2025-03-15 22:00:38.340245,2.0,Gualter Neto Pinheiro,27,https://www.google.com/maps/contrib/111933459002810608949/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNYeGQzVG53RRAB,Ugh,4 months ago,2025-03-15 22:00:38.341246,1.0,christophe gros,69,https://www.google.com/maps/contrib/115097541234957960770/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRMTdQVmtnRRAB,"I didn't go back, but I witnessed in front of its doors the arrest of a spy who almost derailed Austerlitz!",7 years ago,2025-03-15 22:00:38.341246,5.0,Perle Guarino--Vignon,145,https://www.google.com/maps/contrib/100411946708803774844/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNhODl6a3NBRRAB,Very interesting. Our guide was attentive to our needs and very passionate. To visit.,3 years ago,2025-03-15 22:00:38.342333,5.0,yvette perroux,70,https://www.google.com/maps/contrib/118028660545185966050/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURna0licmZREAE,"Blah, blah....More like a tourist place to sell products bearing the image of Napoleon, of the City. Little interest in substance",7 years ago,2025-03-15 22:00:38.342333,2.0,Cath Guil,397,https://www.google.com/maps/contrib/104415478703309736303/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBbHB1WXV3RRAB,"A place where you can find the history of the city, the works are fascinating. I recommend you!",6 years ago,2025-03-15 22:00:38.343335,5.0,Élisée Siqueira,"1,448",https://www.google.com/maps/contrib/104266849883691469278/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvaUptd0xBEAE,Small museum but very rich in its collections. To discover and re-discover,6 years ago,2025-03-15 22:00:38.343335,5.0,Carpentier Mathilde,6,https://www.google.com/maps/contrib/112774322197470455334/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRaTR5Yk9BEAE,Very interesting temporary exhibitions. A child's mummy found in trash cans has been on display since 2015,8 years ago,2025-03-15 22:00:38.344335,5.0,Guillaume Coqueblin,152,https://www.google.com/maps/contrib/101924163897041828682/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRbnIzVnJBRRAB,Old town hall transformed into a museum and keeping its wedding hall for those who wish it.,7 years ago,2025-03-15 22:00:38.344335,3.0,Jérome Laurence,634,https://www.google.com/maps/contrib/104021618922863644710/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNRdVoyVnN3RRAB,Old-fashioned museum not very suitable for a young audience but nevertheless interesting,8 years ago,2025-03-15 22:00:38.345335,3.0,Julien Soumagne,61,https://www.google.com/maps/contrib/114129651900190645155/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3cEotUFFnEAE,A page of history.  A little messy but interesting.,6 years ago,2025-03-15 22:00:42.573532,3.0,Clement Jacqueline,22,https://www.google.com/maps/contrib/115955342870419130278/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURnd3NpaThBRRAB,Alright,7 years ago,2025-03-15 22:00:42.574533,4.0,Cédric Béguin,59,https://www.google.com/maps/contrib/105247952547319950202/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURZNUsyNFNnEAE,The Taï-Set room. Egyptian Mummy,5 years ago,2025-03-15 22:00:42.575652,4.0,Carole Thierry,52,https://www.google.com/maps/contrib/102748736929957944772/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrdUphRzdBRRAB,Beautiful collection of toy soldiers.,5 years ago,2025-03-15 22:00:42.575652,5.0,Alain Carasso,486,https://www.google.com/maps/contrib/106522415003994313667/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwNnZxUzVRRRAB,Home setting and culinary quality,5 years ago,2025-03-15 22:00:42.576654,5.0,Françoise Latreille,10,https://www.google.com/maps/contrib/104093275654378483072/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVNG9tTXpRRRAB,Magic,5 years ago,2025-03-15 22:00:42.576654,3.0,Marthe Evina,4,https://www.google.com/maps/contrib/108836788991304543326/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURVMi1tYUlnEAE,Nice,5 years ago,2025-03-15 22:00:42.577654,5.0,jan Appeldoorn,345,https://www.google.com/maps/contrib/111951192727465978742/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSa1pqUlVnEAE,Interesting,a year ago,2025-03-15 22:00:42.577654,3.0,Marie Teranova,181,https://www.google.com/maps/contrib/116281499067140601525/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRazV6QVJ3EAE,Beautiful place,4 months ago,2025-03-15 22:00:42.578654,3.0,christophe gros,397,https://www.google.com/maps/contrib/106611924933776609483/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMzeThfYXBRRRAB,,4 months ago,2025-03-15 22:00:42.578654,5.0,kENETH WAMBUI,36,https://www.google.com/maps/contrib/109965540312109217951/reviews?hl=en
