id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURoajRITFZnEAE,Last home of the famous rock n roll singer from the Doors who died here in 1971.,6 months ago,2024-12-27 21:01:03.699314,5.0,Christopher Griffin,618,https://www.google.com/maps/contrib/101337800212881693506/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUQ1aHJuOE9nEAE,Awesome... Thx 4 the music,a year ago,2024-12-27 21:01:03.703314,5.0,Dirk Hauröder,40,https://www.google.com/maps/contrib/108559075976866612465/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ4bTlEQkN3EAE,He was not at home...,4 years ago,2024-12-27 21:01:03.703314,3.0,remco snoeij,16,https://www.google.com/maps/contrib/113950707374932437156/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ2aGVPWGpBRRAB,Moving place.,3 years ago,2024-12-27 21:01:03.704314,5.0,Alexis Huck,21,https://www.google.com/maps/contrib/110325344486556449810/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURlczZlMTRnRRAB,Jim's final resting place...,2 years ago,2024-12-27 21:01:03.704314,5.0,seev,69,https://www.google.com/maps/contrib/101865007209466782546/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURPN3F5OGNREAE,Cool,2 years ago,2024-12-27 21:01:03.704314,5.0,Damian Kuna,0,https://www.google.com/maps/contrib/117553077153824975568/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQwc29MWU13EAE,,5 years ago,2024-12-27 21:01:03.704314,5.0,John Broderick,14,https://www.google.com/maps/contrib/104426966028091378281/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNzakozWnpnRRAB,Unique,4 years ago,2024-12-27 21:01:03.705315,5.0,Mirko Bissoli,301,https://www.google.com/maps/contrib/111204539857873156528/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURQaVlYUVB3EAE,,3 weeks ago,2024-12-27 21:01:07.815807,5.0,romulo pizzi de melo,0,https://www.google.com/maps/contrib/106946577396368130732/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNQLUpMaGVBEAE,,a month ago,2024-12-27 21:01:07.815807,5.0,Tamas Horvath,2,https://www.google.com/maps/contrib/114205882551646096552/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMzbV9mN1d3EAE,,a month ago,2024-12-27 21:01:07.815807,5.0,Ricard Busom,17,https://www.google.com/maps/contrib/115809680173508953788/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNUMGJYbGtRRRAB,,7 months ago,2024-12-27 21:01:07.816808,5.0,M M-L,308,https://www.google.com/maps/contrib/117124465185860051712/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUREamNXdHB3RRAB,,8 months ago,2024-12-27 21:01:07.816808,5.0,Lizard Jimbo 46 The Doctor,1,https://www.google.com/maps/contrib/106289922739867854551/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNGcDdEcjdBRRAB,,a year ago,2024-12-27 21:01:07.816808,1.0,Serena Di Iulio,0,https://www.google.com/maps/contrib/116090167958970119194/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURoX296YUp3EAE,,a year ago,2024-12-27 21:01:07.816808,5.0,Dean Vo,0,https://www.google.com/maps/contrib/102341924027709807597/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURob3VERGFnEAE,,a year ago,2024-12-27 21:01:07.817808,5.0,Lenka Mxxkxxv,5,https://www.google.com/maps/contrib/110929841457120599162/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN1MFlDSTZ3RRAB,,2 years ago,2024-12-27 21:01:07.817808,5.0,Tobias Unnebäck Balmaceda,46,https://www.google.com/maps/contrib/113125775019179282989/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURtMzgzY1l3EAE,,2 years ago,2024-12-27 21:01:07.817808,5.0,Jose Maria Recalde Davalos,10,https://www.google.com/maps/contrib/117636195333997612470/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURhOU15OTN3RRAB,,3 years ago,2024-12-27 21:01:11.929702,5.0,el magnifiquo doors,36,https://www.google.com/maps/contrib/110499891612408394969/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVaTV6OXZ3RRAB,,5 years ago,2024-12-27 21:01:11.930701,5.0,Eric Soulier,0,https://www.google.com/maps/contrib/109682542490555610795/reviews?hl=en
