id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNMMVl5SjRBRRAB,All times Help  cimade All Persons Good,6 months ago,2024-12-27 20:27:24.129267,5.0,Md sabul Paris,14,https://www.google.com/maps/contrib/107352012054837987245/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSURNN3NuZV9BRRAB,I attended the Karis Paris cult. Very good animation. It was magnificent.,4 years ago,2024-12-27 20:27:24.132268,5.0,Maurice Mbock,45,https://www.google.com/maps/contrib/106173826682488836709/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURtOXMtWi1RRRAB,"Warm and open parish. Worship and preaching combine intelligence, depth and simplicity.",2 years ago,2024-12-27 20:27:24.132268,5.0,Charlotte Etienne BB,0,https://www.google.com/maps/contrib/107797416661777781469/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNna0t6ZlpnEAE,Particularly welcoming and dynamic community. Many activities for all ages. Inspirational preaching.,6 years ago,2024-12-27 20:27:24.133267,5.0,Pierre-Philippe Lacroix,0,https://www.google.com/maps/contrib/112295198378042941588/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURDMWNPY3pRRRAB,"Sobriety of Protestant worship on rue madame Paris 6th, it's a change from the Catholic mass... I like it, we go to the essential: the texts Biblical!",4 years ago,2024-12-27 20:27:24.133267,4.0,monic clavos,655,https://www.google.com/maps/contrib/113019934793455496264/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRd0w3Q1RREAE,"Lots of activities, warm place, where Jesus Christ may sit next to you!😊 …",6 years ago,2024-12-27 20:27:24.133267,5.0,Véronique Thierry-Mieg,0,https://www.google.com/maps/contrib/105963905681431574827/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRbGNIaEp3EAE,An open and active Protestant community in a very beautiful place in the heart of Paris.,8 years ago,2024-12-27 20:27:24.133267,5.0,Jean-Michel Laurora,0,https://www.google.com/maps/contrib/111737994380559872631/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBMDdfNkt3EAE,"Good atmosphere, I liked the service! THANKS!",8 years ago,2024-12-27 20:27:24.133267,4.0,Etienne Laffargue,30,https://www.google.com/maps/contrib/116685818328493457322/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMwOE15YVJnEAE,worship in Malagasy every Sunday for those who are interested.,5 years ago,2024-12-27 20:27:28.249398,5.0,Malalatiana Andrianjanahary,110,https://www.google.com/maps/contrib/107780167160198269260/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNRbnZhUXdBRRAB,Convenient times to come and recharge your batteries.,6 years ago,2024-12-27 20:27:28.249398,5.0,Basile Schlumberger,0,https://www.google.com/maps/contrib/117615730111258430929/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNVcDQ2bmN3EAE,To visit historic place service in English at 3:30 p.m. on Sundays,5 years ago,2024-12-27 20:27:28.250399,4.0,Olsi Baze,238,https://www.google.com/maps/contrib/116671873380053898369/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNVbDQteVZ3EAE,Very welcoming and lively parish,5 years ago,2024-12-27 20:27:28.250399,5.0,annette boulier,0,https://www.google.com/maps/contrib/101186526769963250604/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ0bDk3OWpRRRAB,Rich and varied musical programming,5 years ago,2024-12-27 20:27:28.250399,5.0,Janna Baisseitova,272,https://www.google.com/maps/contrib/100718090352868029041/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNlczVDNDVnRRAB,I appreciate the ac,2 years ago,2024-12-27 20:27:28.250399,5.0,Anne-Marie Dautheville,53,https://www.google.com/maps/contrib/110065582653190997836/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNtbElybG53RRAB,Very nice acoustics,3 years ago,2024-12-27 20:27:28.251399,5.0,Daphne S.,2,https://www.google.com/maps/contrib/105879416338506378062/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNHMklfR3F3RRAB,Bright and serene place.,3 years ago,2024-12-27 20:27:28.251399,4.0,Amy Tardres,113,https://www.google.com/maps/contrib/101782812801586729203/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNZdUxqTnJ3RRAB,Ecumenism obliges... 💒 …,5 years ago,2024-12-27 20:27:28.251399,5.0,Franck Nankam,12,https://www.google.com/maps/contrib/104671649282328998564/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVcWJxNGpnRRAB,Dazzling! Unexpected!,5 years ago,2024-12-27 20:27:28.251399,5.0,Paul Chaix,625,https://www.google.com/maps/contrib/109599996856376169398/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSbElmT1JnEAE,,a year ago,2024-12-27 20:27:32.497846,5.0,BALA TOURAY,0,https://www.google.com/maps/contrib/109993104882969629676/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNCdjhEYVVnEAE,,a year ago,2024-12-27 20:27:32.497846,5.0,Blaise,11,https://www.google.com/maps/contrib/105687735342503806793/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlcXNiNUdnEAE,,2 years ago,2024-12-27 20:27:32.497846,3.0,Amadou Kane,0,https://www.google.com/maps/contrib/116446950508039299270/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNPcy1YMG1BRRAB,,2 years ago,2024-12-27 20:27:32.498846,5.0,Emile Barbu,21,https://www.google.com/maps/contrib/110279888717518628987/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ2dXJURy13RRAB,,3 years ago,2024-12-27 20:27:32.498846,5.0,Jonathan Moy,94,https://www.google.com/maps/contrib/104648025081155114230/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ4OGVuZGNBEAE,,4 years ago,2024-12-27 20:27:32.498846,5.0,Vica Vica,0,https://www.google.com/maps/contrib/100055481750769246594/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ0cGRMU0dnEAE,,5 years ago,2024-12-27 20:27:32.498846,4.0,Evelyne Verrien,19,https://www.google.com/maps/contrib/104124685534547545412/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvdTdmYVVBEAE,,5 years ago,2024-12-27 20:27:32.499846,1.0,Fry's France,0,https://www.google.com/maps/contrib/111593135992324185774/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnbk83QVB3EAE,,6 years ago,2024-12-27 20:27:32.499846,5.0,Jean Herr,0,https://www.google.com/maps/contrib/103974353660723697326/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRNVltb0ZnEAE,,6 years ago,2024-12-27 20:27:32.499846,5.0,Raafat Hanna,25,https://www.google.com/maps/contrib/111001411114801232418/reviews?hl=en
