id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUREa0pUaGxRRRAB,Beautiful modern church near Bastille and in 11th arondissment. Peaceful.,8 months ago,2024-12-27 20:18:51.718449,5.0,Dexter Cuizon,"1,088",https://www.google.com/maps/contrib/106216696365161561003/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUMtMklld1dnEAE,"Rare church porch wide open onto the street, and beautiful architecture in stone and wood, chapel of the Holy Sacrament decorated with a Stations of the Cross in marble bas reliefs.",2 years ago,2024-12-27 20:18:51.724450,5.0,Laurent Pingault,346,https://www.google.com/maps/contrib/101813997974341714567/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVbE4yV3h3RRAB,This church is very small with the two open doors which allow all passers-by to see the entire interior with the font in the center when entering. Let's hope that security is there when we see all the people hanging out in the street.,5 years ago,2024-12-27 20:18:51.724450,4.0,Catherine Roy,"1,110",https://www.google.com/maps/contrib/102861833523195426153/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR3MHREU1FnEAE,Catholic place of worship with modern architecture NDE Notre Dame d'Espérance Paris 11th our House remains open for each of us to welcome us 👂🏾mutually 🌻 …,a year ago,2024-12-27 20:18:51.724450,5.0,Marie-claude Ngue,66,https://www.google.com/maps/contrib/117277463223768414870/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNvZ09HX1JnEAE,"Go visit it because its architectural modernity as well as its altar are really worth the visit. In addition, this modernity is also found in the conduct of the spirituality offered there.",5 years ago,2024-12-27 20:18:51.725450,5.0,Catherine Pelanjon,41,https://www.google.com/maps/contrib/116456933119149144238/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNCaE9iY2l3RRAB,The style of refined modern architecture with its small chapel is a space conducive to meditation 🙏💞☄ …,2 years ago,2024-12-27 20:18:51.725450,5.0,MC,0,https://www.google.com/maps/contrib/113259290568503801541/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBaWRPcjFnRRAB,"Modern and very particular architecture for a Catholic church: you love it or you hate it. Personally, this type of building disgusts me but that’s just my opinion 😉 …",7 years ago,2024-12-27 20:18:51.725450,2.0,g gu,218,https://www.google.com/maps/contrib/111582817007530651107/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBdXZ5SjF3RRAB,Warm and “not overwhelming” church when you enter. Everything has been thought of by local artists: the guided tour is worth the detour!,6 years ago,2024-12-27 20:18:51.725450,5.0,Pierre Rolland,15,https://www.google.com/maps/contrib/115024122588891799259/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR5MDQ3b0VBEAE,"Beautiful Church, soothing, and with a sobriety which makes it even more meaningful. Let's hope that everyone who enters this church will receive what they hope for.",3 years ago,2024-12-27 20:18:55.847033,5.0,Mustapha Lounes,0,https://www.google.com/maps/contrib/112269012807255489267/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNZOTVyU1pBEAE,"Very nice place, new with great acoustics. I attended a performance by 3 opera singers, extra",5 years ago,2024-12-27 20:18:55.848033,5.0,Jul ien,39,https://www.google.com/maps/contrib/105025719778149994379/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURXM3FxSVNREAE,The church is beautiful and modern. The celebration was also prayerful and beautiful.,2 years ago,2024-12-27 20:18:55.848033,5.0,Colette Boillot,0,https://www.google.com/maps/contrib/104586941315228153830/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNDN29tbzNnRRAB,"Pretty church, but could you think of the neighborhoods when you ring the bells? Or possibly reduce the duration?",4 years ago,2024-12-27 20:18:55.848033,1.0,Phan LE,1,https://www.google.com/maps/contrib/117086856803362656158/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrMmVuMHJRRRAB,I go there for the beautiful program of concerts organized each year by a team of dynamic volunteers.,5 years ago,2024-12-27 20:18:55.848033,4.0,Annick Alix,210,https://www.google.com/maps/contrib/109665746606322816368/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ0ajlHa1Z3EAE,"Small, fairly simple and modern church",5 years ago,2024-12-27 20:18:55.849033,5.0,Neiyhdie Neidie,210,https://www.google.com/maps/contrib/112979640391061656029/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMtd29XRHJBRRAB,"The recorded bell ringing for long minutes, even in the evening, becomes unbearable for the neighborhood",2 years ago,2024-12-27 20:18:55.849033,1.0,Corentin Ameline,11,https://www.google.com/maps/contrib/100904800676956757462/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpMEpMTVdREAE,"Magnificent place of prayer and worship, the organ has an extraordinary sound",4 years ago,2024-12-27 20:18:55.849033,5.0,CHASSEZAC DESBOS Fabrice Robert Joseph,132,https://www.google.com/maps/contrib/110579989003810323301/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwMXMzNWhnRRAB,"Very beautiful architectural achievement, however the design is very bad! It's a shame...",5 years ago,2024-12-27 20:18:55.849033,3.0,Manu Hammel,321,https://www.google.com/maps/contrib/101712623969370299746/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURHcDlfWkVnEAE,Catholic Church Very beautiful modern architecture,3 years ago,2024-12-27 20:18:55.849033,4.0,Marie Noel Casanova,45,https://www.google.com/maps/contrib/111217246867851621855/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURJaEpmcmtBRRAB,Very beautiful architecture inside the Notre Dame de l'Espère church,6 years ago,2024-12-27 20:19:00.064377,5.0,Christelle Chaussecourte,2,https://www.google.com/maps/contrib/105020174596945178388/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBLU0yRXlRRRAB,"Interesting architecture, especially inside. Very well located.",7 years ago,2024-12-27 20:19:00.064377,4.0,PA C,84,https://www.google.com/maps/contrib/112078693923339333766/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURrbUx5MHlnRRAB,A welcoming church that organizes superb Jazz concerts,5 years ago,2024-12-27 20:19:00.064377,5.0,Helene ORMIERES,107,https://www.google.com/maps/contrib/107640633519706164652/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1aUppSm93RRAB,I can't stand these recorded ringtones that last for long minutes,2 years ago,2024-12-27 20:19:00.065377,1.0,Emma Winter,0,https://www.google.com/maps/contrib/109315384266957098918/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQ0eGYtWTlBRRAB,very beautiful architecture,5 years ago,2024-12-27 20:19:00.065377,3.0,Isy Majbruch,602,https://www.google.com/maps/contrib/102629919666930072093/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNlOXQtX3B3RRAB,Very beautiful church,2 years ago,2024-12-27 20:19:00.065377,5.0,Each day,0,https://www.google.com/maps/contrib/112887958518364494946/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSMDZYV0V3EAE,Quiet despite the open door,a year ago,2024-12-27 20:19:00.065377,5.0,Gisele Charlery,0,https://www.google.com/maps/contrib/109832713103025458571/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURZNWRLdE9nEAE,Place of worship there is nothing to say,5 years ago,2024-12-27 20:19:00.066378,3.0,Jacqueline Roy,34,https://www.google.com/maps/contrib/109673464708561580490/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNNcWFxeURBEAE,Very well exposed and airy location,5 years ago,2024-12-27 20:19:00.066378,5.0,Christelle Chaussecourte,32,https://www.google.com/maps/contrib/117738927082360958344/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBbnI3UndnRRAB,New church with atypical architecture,6 years ago,2024-12-27 20:19:00.066378,3.0,Vincent Rolain,136,https://www.google.com/maps/contrib/108510161478581462224/reviews?hl=en
