id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNublAtVk53EAE,Part of an interesting Bimble around Avallon. Always love a statue 👌🏻,4 months ago,2025-01-24 11:54:20.550454,5.0,Martin Eva,0,https://www.google.com/maps/contrib/118044922174325911800/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSUNPdEtyOUdBEAE,Very beautiful town at the gateway to Morvan. To visit but with a guide..,2 years ago,2025-01-24 11:54:20.557454,4.0,Chantal Naudin,32,https://www.google.com/maps/contrib/113747042143877303292/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURwcGUyeHhnRRAB,Good statue of Vauban in Avallon.,a year ago,2025-01-24 11:54:20.558454,5.0,S “Coincollecter” B,504,https://www.google.com/maps/contrib/103389168937630767681/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURwbXR6d0dBEAE,When will we start tuning with LEDS?,a year ago,2025-01-24 11:54:20.558454,4.0,Emile Pezet,417,https://www.google.com/maps/contrib/101789432506957352623/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNseGZ5cUJnEAE,Just a statue in a square,a year ago,2025-01-24 11:54:20.559453,5.0,Paulette Dupont,104,https://www.google.com/maps/contrib/114493280078335082898/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURwbnBuNFhREAE,Gorgeous.,a year ago,2025-01-24 11:54:20.559453,5.0,Gilbert Baroux,113,https://www.google.com/maps/contrib/105275211112259506731/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNxbVk2VTdRRRAB,Something beautiful,3 years ago,2025-01-24 11:54:20.560453,5.0,Dorota Andrzejuk,219,https://www.google.com/maps/contrib/108836183598554175575/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMxczZhRWJREAE,,a year ago,2025-01-24 11:54:20.560453,4.0,francois vergnaud,0,https://www.google.com/maps/contrib/102105647741635909480/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQycWZ2eHpBRRAB,,a year ago,2025-01-24 11:54:24.736359,5.0,Олена Охріменко,111,https://www.google.com/maps/contrib/108685748438395828396/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNGX0pIckxREAE,,a year ago,2025-01-24 11:54:24.737359,5.0,Francois Franqueville,104,https://www.google.com/maps/contrib/114103476276636890401/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURwdy1fTkp3EAE,,a year ago,2025-01-24 11:54:24.737359,5.0,Suez Sita,48,https://www.google.com/maps/contrib/104023077827471346269/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURweVpUT3hRRRAB,,a year ago,2025-01-24 11:54:24.738359,4.0,Gérard Dujardin,138,https://www.google.com/maps/contrib/104802598126521091222/reviews?hl=en
ChRDSUhNMG9nS0VJQ0FnSURwd2RvMxAB,,a year ago,2025-01-24 11:54:24.738359,4.0,hervé Anzenberger,137,https://www.google.com/maps/contrib/110515307143698896972/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNwMS1ES1p3EAE,,a year ago,2025-01-24 11:54:24.739359,5.0,Philippe Broc,17,https://www.google.com/maps/contrib/117851260186538715505/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNwM2J2YjVBRRAB,,a year ago,2025-01-24 11:54:24.739359,5.0,Francisco Gonzalez,0,https://www.google.com/maps/contrib/110703969186529134426/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR4MWM3RUFREAE,,a year ago,2025-01-24 11:54:24.740359,3.0,jose Sarabia,81,https://www.google.com/maps/contrib/103247713759996162570/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSMkxlaVBBEAE,,a year ago,2025-01-24 11:54:24.740359,5.0,luc casterman,63,https://www.google.com/maps/contrib/102819519318152551762/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNSMDczNHdRRRAB,,a year ago,2025-01-24 11:54:24.741359,4.0,dimitrios antoniou,26,https://www.google.com/maps/contrib/101719223461789552202/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURCN2NmcmpRRRAB,,a year ago,2025-01-24 11:54:28.863399,3.0,Ulysse Gudin,0,https://www.google.com/maps/contrib/103762623021644635112/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNHc3B6T0FREAE,,3 years ago,2025-01-24 11:54:28.864399,5.0,H_Trois Bêrtî Husên,19,https://www.google.com/maps/contrib/100242304894332884032/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN5enRPNUdnEAE,,3 years ago,2025-01-24 11:54:28.865399,5.0,Sumon Zaman,0,https://www.google.com/maps/contrib/108752511994147978961/reviews?hl=en
