id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSURmdW9YazNnRRAB,Great for buying magnificent old books with an idyllic setting :),2 weeks ago,2025-01-24 12:03:57.007415,5.0,Iris Bourasseau,24,https://www.google.com/maps/contrib/106907044340636525187/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNxdDVtTjlnRRAB,"A real pleasure to wander around, rummage through your boxes and unearth little treasures. And a real enrichment to share with Philippe! A big thank you for these moments of exchange",3 years ago,2025-01-24 12:03:57.015232,5.0,network G,0,https://www.google.com/maps/contrib/112684821560716904011/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURldE55VGRnEAE,"I highly recommend this site. I used its owner to get rid of many books. He was efficient, available and friendly. Having searched a lot, believe me, it's rather rare.",2 years ago,2025-01-24 12:03:57.015232,5.0,VALLEZ Domnique,0,https://www.google.com/maps/contrib/116148734723969406774/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQtMDhLcGZREAE,"I recommend buying books, classics but also discoveries, in an ecological way since second-hand, under the wise and passionate advice of Philippe!",2 years ago,2025-01-24 12:03:57.016232,5.0,Oriane Del Taglia,0,https://www.google.com/maps/contrib/100731972069887338845/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNhaDlYYVpnEAE,"A nice discovery/encounter. A friendly person, a professional who knows his area, a well-presented stall, a pleasant setting",3 years ago,2025-01-24 12:03:57.016232,5.0,Pascal Rissac,0,https://www.google.com/maps/contrib/117731330076345260733/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQtamVuZTlRRRAB,Very good experience at this bookstore. Quality of advice and books offered. I found my happiness there!,2 years ago,2025-01-24 12:03:57.016232,5.0,Gaëtan Darve,0,https://www.google.com/maps/contrib/102327018494173666008/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlbG9xTlR3EAE,"Excellent bookseller, available and competent, with a wide choice of books. Accepts credit card payments, which is a big advantage!",2 years ago,2025-01-24 12:03:57.017233,5.0,Florent Bécognée,0,https://www.google.com/maps/contrib/112112223879971991470/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNxdGMyQWtRRRAB,Great advice that's off the beaten path! - precise and attentive literary and philosophical detours. I highly recommend going there!,3 years ago,2025-01-24 12:03:57.018233,5.0,Mathilda Audasso,0,https://www.google.com/maps/contrib/110171347062974614688/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURlanNDQzZRRRAB,"In addition to the service and his kindness, Philippe presented me with great projects, a great second life for my books! I'm delighted!",2 years ago,2025-01-24 12:04:01.126407,5.0,Marion Foret,0,https://www.google.com/maps/contrib/117217423124109248544/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlbDRLZmZnEAE,"As a student, I was delighted to find books related to my studies, at an affordable price. Today, I picked up books by Kant and Hegel, I will come back!!",2 years ago,2025-01-24 12:04:01.127407,5.0,Morgane Brétéché,0,https://www.google.com/maps/contrib/107468073539510580152/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN0OTh5OTlBRRAB,It was a real pleasure to meet you and all your friends from the docks... too sad not to see you again soon 😥😥 …,11 months ago,2025-01-24 12:04:01.127407,5.0,michèle auvray,0,https://www.google.com/maps/contrib/113059636699217573767/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN1dnRTVkpnEAE,Very nice collection in human sciences and literature. Philippe is very welcoming and gives good advice!,2 years ago,2025-01-24 12:04:01.128407,5.0,Paul Louedin,0,https://www.google.com/maps/contrib/107600164908637732036/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlamNLa0l3EAE,"Great children's books, in perfect condition. Thank you Philippe 😁👏🏽 …",2 years ago,2025-01-24 12:04:01.129408,5.0,Sharon Chetrit,0,https://www.google.com/maps/contrib/100952755099698909700/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURxLUozU3V3RRAB,"Super nice, good advice and all the books are individually packaged so in good condition!",3 years ago,2025-01-24 12:04:01.129408,5.0,David Courbois,0,https://www.google.com/maps/contrib/109816016647119592157/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNhbzh6Xy13RRAB,Charming visit to Philippe. Beautiful editions of excellent quality.,3 years ago,2025-01-24 12:04:01.130407,5.0,Eraa Nova,2,https://www.google.com/maps/contrib/110256081368348987343/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlbktDcWRBEAE,An authentic bookseller who loves books. It offers a wide choice.,2 years ago,2025-01-24 12:04:01.130407,5.0,Joachim Lombard,0,https://www.google.com/maps/contrib/112742742227851493731/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURldGF5aG9nRRAB,"Always excellent advice, and very pleasant exchanges. I highly recommend.",2 years ago,2025-01-24 12:04:01.131407,5.0,Manu 67,0,https://www.google.com/maps/contrib/116141095978282599522/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURtd2E2MC13RRAB,Very friendly person. Good advice. Very fair prices. I warmly recommend.,2 years ago,2025-01-24 12:04:01.131407,5.0,jérôme PINQUIER,0,https://www.google.com/maps/contrib/112228038270639471249/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1cjZXQ21nRRAB,"Very warm welcome, good books and lots of advice from M.Legendre, a bookseller on Quai de la Mégisserie. It's always a pleasure to wander around and look at these second-hand books from Paris second-hand booksellers.  We will come back with our children!",2 years ago,2025-01-24 12:04:05.253618,5.0,Clémentine Leyer,0,https://www.google.com/maps/contrib/110533719361624056536/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMyajZfSzhBRRAB,A beautiful collection and Philippe is adorable,2 years ago,2025-01-24 12:04:05.254656,5.0,Charles Muller,0,https://www.google.com/maps/contrib/105613038286261206716/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQya2JiMEl3EAE,Exceptional and inexpensive books!,2 years ago,2025-01-24 12:04:05.255624,5.0,Kamel Boukir,0,https://www.google.com/maps/contrib/109523022272658527508/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURldXF2bU5REAE,Great bookstore with a wide choice of authors,2 years ago,2025-01-24 12:04:05.255624,4.0,Agathe,0,https://www.google.com/maps/contrib/102455170981848606254/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURxX0lHNHl3RRAB,The best bookseller on the quays!,3 years ago,2025-01-24 12:04:05.256618,5.0,bertrand rieger,0,https://www.google.com/maps/contrib/105637517051572167924/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxako2a0ZnEAE,Very nice bookseller and very cute place,3 years ago,2025-01-24 12:04:05.256618,5.0,Julia besançon,0,https://www.google.com/maps/contrib/112838603572024403276/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURxOHA3Ri1RRRAB,I recommend Philippe,3 years ago,2025-01-24 12:04:05.257618,5.0,Stephane LENDEHAN,0,https://www.google.com/maps/contrib/114583608447786736939/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURQNHZpWGNBEAE,,a month ago,2025-01-24 12:04:05.257618,5.0,Julie Lambert,0,https://www.google.com/maps/contrib/114028990807909765000/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMxM3R5cU1REAE,,a year ago,2025-01-24 12:04:05.258619,5.0,Mickaëla Mohammad,0,https://www.google.com/maps/contrib/112072356094260612324/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURwbU5TOVRREAE,,a year ago,2025-01-24 12:04:05.258619,4.0,Nicholas Saunders,67,https://www.google.com/maps/contrib/109679041862807433765/reviews?hl=en
