id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUM3cHR1c1lnEAE,Wonderful place to visit and to walk!,5 months ago,2025-01-24 13:23:36.789645,5.0,Tom Sharony,22,https://www.google.com/maps/contrib/114853765822153990659/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNaZzVMMjdBRRAB,Lovely place,a year ago,2025-01-24 13:23:36.798645,5.0,jasper,165,https://www.google.com/maps/contrib/117637609274076501657/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRaVBYZTdRRRAB,Cool,7 years ago,2025-01-24 13:23:36.798645,5.0,Elie Berda,3,https://www.google.com/maps/contrib/109906977975357184075/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNKdlpTRnBnRRAB,"Beautiful square, large and long, where you can take real walks. It is well equipped for children, with a large play area. Personally I really liked the other end of this square, which is quieter. I recommend",a year ago,2025-01-24 13:23:36.799645,5.0,D L,363,https://www.google.com/maps/contrib/106346985716899828948/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNaai1IS0R3EAE,"Little known but very enjoyable park. It is on two floors with a playground, basketball court, lots of green space and excellent vegetation.",a year ago,2025-01-24 13:23:40.952284,4.0,Fabriceファブリッス,385,https://www.google.com/maps/contrib/108130134219507128019/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNRLWZpVTlRRRAB,"A very pleasant holiday destination for everyone living in this district of Paris. Including for children. We were there on a summer morning, when the heat had not yet set in and there were few people. We had breakfast there: near the playground there is a kiosk with coffee, tea, croissants and tables. But we tasted this bliss right on the bench. In the park there are tables for chess players, wicker gazebos near flower beds, I even saw a flower bed with vegetables! The far exit leads to the street with a magnificent fresco on the wall of the Art Nouveau house. There are alleys in the shade of trees with benches. Very compact and green park!",6 years ago,2025-01-24 13:23:40.953285,5.0,Tatjana Dolotova,17,https://www.google.com/maps/contrib/115590674968295912528/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNLejlpM09BEAE,"To go to Square René Le Gall, you have to take metro line 7 and get off at Gobelins station. You are on Avenue des Gobelins, go down Rue Croulebarbe and you arrive at Square René Le Gall. This square is ideal when the sun is shining ☀️ because there are many shaded areas. A large play area for small children attracts families, as well as self-service ping-pong tables. There is a celebrity in the square: a large chestnut tree planted in 1894.😀 The square is located opposite the Etchegorry inn, an inn specializing in Basque cuisine 🤩.",3 years ago,2025-01-24 13:23:40.954284,4.0,Entre Taïwan et la Corée,499,https://www.google.com/maps/contrib/112004386654096798967/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURKb092ekJnEAE,Pretty square to enjoy the freshness of the park. There are beautiful flower beds and very beautiful trees.,a year ago,2025-01-24 13:23:40.955286,4.0,Kevin Vozelle,240,https://www.google.com/maps/contrib/100925232173938906117/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNndE1lMnJRRRAB,"Very pleasant park well hidden right next to Place d'Italie. Great for a walk, a run or a picnic. Football/basketball field, playground, toilets, fountains.",8 years ago,2025-01-24 13:23:40.956285,5.0,Lucie Luca Simon,136,https://www.google.com/maps/contrib/100454069914719808491/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNSdE9Pa093EAE,Large and beautiful square (1938) which replaces the old vegetable garden of the upholsterers of the Gobelins factory.,a year ago,2025-01-24 13:23:40.956285,4.0,Sophie CHAT,371,https://www.google.com/maps/contrib/105450131615748663055/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURSbWVQaTNRRRAB,"A maintained, flowery park where it is pleasant to stroll",a year ago,2025-01-24 13:23:40.957285,5.0,Ingrid BRONET,232,https://www.google.com/maps/contrib/100902897333564793186/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNwM1lXM3JnRRAB,"This large square is extraordinary, nestled on two levels with a mini “forest” space but the children believe in it and that’s the main thing, the games are diverse and even a fitness area for older children. A bike path and a quiet rose garden... I forget the basketball corner and the shared garden... in short, nothing like it to spend a great day for all ages",a year ago,2025-01-24 13:23:40.957285,5.0,F. Mint ALLAF,82,https://www.google.com/maps/contrib/109111583641139456659/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpX3N1RFpnEAE,Very pleasant park for young and old.,4 years ago,2025-01-24 13:23:40.958285,5.0,e H,72,https://www.google.com/maps/contrib/101463095259315085821/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBNWZQdHNRRRAB,"A pretty corner of greenery, uncrowded, providing a moment of much appreciated quiet relaxation.",3 years ago,2025-01-24 13:23:40.958285,3.0,Yola Lichtensztejn,247,https://www.google.com/maps/contrib/116094495779958882357/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNSd0lqN2NBEAE,"Ideal for allowing small children to play with the facilities provided for this purpose, including the large sandbox. On the other hand, although less visible now, rats also appreciate this place, especially the wooded areas between the paths; but where are there none these days, in Paris?",a year ago,2025-01-24 13:23:45.126417,4.0,Jorge Ortiz Rodriguez,59,https://www.google.com/maps/contrib/101290219311336632437/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURKb3FxM3hnRRAB,"Square which has retained the crazy charm of the 1930s. In certain places you forget that you are in the middle of the city. Lots of trees, corners, clutter. This is what is missing in French gardens. I adore !",a year ago,2025-01-24 13:23:45.127416,5.0,Mimosa Beaucarne,0,https://www.google.com/maps/contrib/107334665456413123859/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMtb19uYVhREAE,"Clean and well attended, there is even a chess table, a quite nice kindergarten. Very friendly and polite staff. It's a convenient place to run. The park continues if you climb the steps in the corner. Corvisart metro station. Hours in winter: 8 a.m. to 5:45 p.m. (except weekends: 9 a.m.)",2 years ago,2025-01-24 13:23:45.128416,5.0,Cédric Joudrier,20,https://www.google.com/maps/contrib/107171543445186000015/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURpNGJQWWFBEAE,"A relatively large neighborhood park, where games for children are provided, but also a fitness corner for adults. On the other hand, don't expect to run long laps of the park, there is a staircase separating a quarter of the park from the rest, making the tour only around 300 meters. Finally, most of the park is located below the street, which limits traffic noise.",4 years ago,2025-01-24 13:23:45.128416,4.0,Stabilized Pictures,59,https://www.google.com/maps/contrib/107703304081675469374/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNwajVXd3V3RRAB,"Very beautiful, huge century-old trees! Very well maintained garden. Please put back the benches that were removed from some aisles.",a year ago,2025-01-24 13:23:45.129416,5.0,Rodolphe FALZERANA,67,https://www.google.com/maps/contrib/103375741761778675460/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBN3VuYTlBRRAB,"Very pleasant park! Very well maintained, planted with many species of trees and plants. A whole play area reserved for children, but also gymnastics equipment for older children. Enough to stroll, walk, run (the tour of the park must be 1 km)",7 years ago,2025-01-24 13:23:45.129416,5.0,Lucky Girl75,98,https://www.google.com/maps/contrib/103343915527431987724/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMyLXNidkV3EAE,Large park well hidden among the buildings. It is clean and peaceful,2 years ago,2025-01-24 13:23:45.130417,5.0,Rem RBT,231,https://www.google.com/maps/contrib/112071218571725062832/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNxdk43ajlnRRAB,"Very large square which can be accessed by getting off at the metro or bus station: Gobelins... while passing by you can also admire the beautiful Gobelins factory (and perhaps visit it...) This Sunday, there were a lot of people in the square, especially families with their children who were frolicking and shouting in all directions, intoxicated by the blossoming nature of this asserting spring... In the middle of the square, a very beautiful garden surrounded by arbors with benches and dotted with multiple rose bushes with multicolored roses from the purest pink to the most dazzling purple.... A shared garden and a basketball court (a little apart) complete the idyllic picture for the residents of the neighborhood...! Beautiful walk but undoubtedly more pleasant during the week during off-peak hours for people who enjoy recharging their batteries in nature but also in the calm and serenity of silent contemplation...",3 years ago,2025-01-24 13:23:45.130417,5.0,Fred Booker,495,https://www.google.com/maps/contrib/115485660678768601234/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNneTZMWEFREAE,"A very family-friendly park, there is an area with children's games, ping-pong tables and a kiosk that sells food. The park is not very big but very pleasant for running and walking because it is a quiet and very pretty place. The ground is neither too hard nor too soft for running, which is very practical for avoiding injury.",10 years ago,2025-01-24 13:23:45.131416,5.0,Camille Boisselet,237,https://www.google.com/maps/contrib/115986368579830533473/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURjb3JQVUpBEAE,A large and beautiful garden in the north of the 13th,4 years ago,2025-01-24 13:23:45.132420,4.0,DAVY TRYEP,274,https://www.google.com/maps/contrib/105005672928690917902/reviews?hl=en
