id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUNmbk9hVEpBEAE,"Great building to visit, one of the most known and old universities all over the world",a day ago,2024-12-28 17:16:33.385171,5.0,Dio Brando,132,https://www.google.com/maps/contrib/108107675912014473338/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNVcjh5RDZnRRAB,"The site is magnificent. The buildings, hallways and seminar halls. Located at the fifth arrondissement of Paris, Paris 1 Panthéon- Sorbonne is a must visit (maybe try to visit during the open days of “journées du patrimoine”). Before or after your visit, have a coffee at place de La Sorbonne!",5 years ago,2024-12-28 17:16:33.389171,4.0,Ghalia Boustani,98,https://www.google.com/maps/contrib/101400710349136177044/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURVaXBIbWtnRRAB,Couldn’t visit it inside as it is closed at the moment but the building is huge and majestic!,5 years ago,2024-12-28 17:16:33.389171,5.0,Antonello Cannito,36,https://www.google.com/maps/contrib/118092873137838153796/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNObVo3ZEVnEAE,I wanted to study in this university. Maybe coming year for other degrees in future. Why not ?,11 months ago,2024-12-28 17:16:33.389171,5.0,Mustafa Öztürk,77,https://www.google.com/maps/contrib/111204320282744481178/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUMwbk1MeGFBEAE,It was a nice campus with great history on campus I just wish they had a student store like they do in the US so I could have bought a T-shirt on campus.,5 years ago,2024-12-28 17:16:33.389171,4.0,Lawrence Dortch,111,https://www.google.com/maps/contrib/109047575431442715749/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNRdnFqTTlnRRAB,Excellent! I spent some time there at this university and it was a special experience. Real multiculturalism and fun to meet new people that have the same interests as you.,7 years ago,2024-12-28 17:16:33.390172,5.0,serge schout,197,https://www.google.com/maps/contrib/112966798595090555454/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURlLXRuY0VBEAE,Very nice building,2 years ago,2024-12-28 17:16:33.390172,5.0,Roman Łapszow,444,https://www.google.com/maps/contrib/108215750171599955234/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBdDdXdVB3EAE,"Wonderful, great building! Everyone should look at it.",6 years ago,2024-12-28 17:16:33.390172,5.0,Fodor Zoltán,21,https://www.google.com/maps/contrib/116756102347087046265/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRbWR5NVVBEAE,"It was not allowed to enter freely, not like other universities in most countries. It seems to book in advance and this makes most travelers get disappointed. Is this French culture?",7 years ago,2024-12-28 17:16:37.506368,1.0,zxcdsaqwe_321,45,https://www.google.com/maps/contrib/104907322673230889561/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ2b2ZMM0lnEAE,Beautiful,3 years ago,2024-12-28 17:16:37.506368,5.0,Kelsey Ning,281,https://www.google.com/maps/contrib/108737864185907277871/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnbmZ6Skh3EAE,I'm a student in this wonderful and historical university. Courses are really interesting and of a very good quality,8 years ago,2024-12-28 17:16:37.506368,5.0,jipq,59,https://www.google.com/maps/contrib/114854301272023838229/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNjMV9Ub0FnEAE,"Prestigeous building, monument and university",4 years ago,2024-12-28 17:16:37.507369,5.0,Hamid Chefchaouni,651,https://www.google.com/maps/contrib/101149838823284538829/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnallXM0x3EAE,Beautiful architecture. A truly emblematic place of French education.,8 years ago,2024-12-28 17:16:37.507369,5.0,Alexandre Verhaeghe,68,https://www.google.com/maps/contrib/114959296274708659112/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUM4d2ZHLUV3EAE,Amazing place to life e remember the history of humanity. Should visit!!,4 years ago,2024-12-28 17:16:37.507369,5.0,Tiago Lucena,8,https://www.google.com/maps/contrib/114052778045006887360/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3dDdyNUNnEAE,"The cafe in front of the main door and the book store, I will never forget",9 years ago,2024-12-28 17:16:37.507369,5.0,Journey Photos,547,https://www.google.com/maps/contrib/116961527625754296525/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURRMS02d2t3RRAB,Really nice building. And the quater of the university has a nice athmosphere.,8 years ago,2024-12-28 17:16:37.508369,5.0,Gábor Varga,173,https://www.google.com/maps/contrib/105881008754565686102/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNBemN2aHR3RRAB,"Prestigious university , very high quality . Beautiful building as well",8 years ago,2024-12-28 17:16:37.508369,5.0,Leonor Esteves,163,https://www.google.com/maps/contrib/115310051174872646909/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBcGFLTVpnEAE,Studied French here for a summer when I was 20. Best summer of my life.,7 years ago,2024-12-28 17:16:37.508369,5.0,Ariyada Vadasz,242,https://www.google.com/maps/contrib/109258532806021936135/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNnb3NlVTN3RRAB,University guards said that tourists are only allowed to enter university courtyard.,9 years ago,2024-12-28 17:16:41.638560,5.0,Nikola Despotoski,231,https://www.google.com/maps/contrib/117795516319858933509/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNBak5fb0Z3EAE,The Univ-Paris 4's students don't have many classes in this building.,7 years ago,2024-12-28 17:16:41.638560,1.0,Yi Zheng,0,https://www.google.com/maps/contrib/108226713420496815934/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRMWNpYlJ3EAE,University with the soul of many great and famous people in the world.,8 years ago,2024-12-28 17:16:41.638560,5.0,Eryk Kuczyński,261,https://www.google.com/maps/contrib/114937509284881082039/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURnOTl1cUF3EAE,I want to get admission here . But where is the email address I could not find that,6 years ago,2024-12-28 17:16:41.639561,4.0,Shajib Islam,0,https://www.google.com/maps/contrib/102749563274582789889/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN3X05lOFNBEAE,The administration staff are very lazy and useless and please do not even bother going to this University!,7 years ago,2024-12-28 17:16:41.639561,1.0,Diop Fatou,126,https://www.google.com/maps/contrib/115109362410941044645/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQwOUtTRld3EAE,"great place, THEY whipped us hard",5 years ago,2024-12-28 17:16:41.639561,5.0,James Jessep,2,https://www.google.com/maps/contrib/104561935405838391553/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURBaHV6bmpRRRAB,"A legend, need renovation for some rooms, but still ""la Sorbonne""",8 years ago,2024-12-28 17:16:41.639561,4.0,O'bon Paris,69,https://www.google.com/maps/contrib/102278295293251671951/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNKcHZQdG5BRRAB,The school,a year ago,2024-12-28 17:16:41.640561,5.0,Gokce Atli Ariogul,125,https://www.google.com/maps/contrib/102313307566673077616/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN3dEtyWXN3RRAB,They don’t have tours for tourists,6 years ago,2024-12-28 17:16:41.640561,3.0,Mohammadreza Tefaghi,"5,698",https://www.google.com/maps/contrib/102995843245678743089/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBdnJ1NVVREAE,I did not enter there only watched it from afar.,6 years ago,2024-12-28 17:16:41.640561,4.0,Dyah Pitaloka,832,https://www.google.com/maps/contrib/110372546644836303212/reviews?hl=en
