id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSUQzNkp2NUpBEAE,Modern structure with the gray ambience to pray and be with the Lord.,a month ago,2024-12-27 20:46:11.673918,5.0,Joyal Stephan D'sa,92,https://www.google.com/maps/contrib/106275417340427794298/reviews?hl=en-GB
ChdDSUhNMG9nS0VJQ0FnSUNNazZqQW5RRRAB,"I have come several times to this church, very modern in its form and the concrete used, during the services it is possible to retire to a room on the side, to take a noisy child there, the services there are very prayerful, Once a month at least, the 11 a.m. mass is sung by a mixed choir, adults and children, the songs rise into the vault, accompanied by a beautiful refurbished organ, on which a talented organist plays, the church is Round, you can see the altar, and follow the celebrant easily, parish community, warm and active,",5 years ago,2024-12-27 20:46:11.679926,4.0,Armelle Barbier,1,https://www.google.com/maps/contrib/100536645402196239475/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQybl9QV0F3EAE,Ah! The remarkable work of Mathilde Kohn with the Enjoie choir (children) and the liturgical choir. A place of reference on a musical level in addition to the rest!,2 years ago,2024-12-27 20:46:11.680925,5.0,Marie-Ange Leurent et Eric Lebrun (Ciutadella),174,https://www.google.com/maps/contrib/117287472783197867136/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUR3emV5ck9nEAE,"The Church of Our Lady of Dirt is a very beautiful church with two entrances. She is very big. However, we wanted to sell calendars for the benefit of the unitary scouts of France.  We therefore sent an email to the parish secretariat. We went there on the scheduled date but there was no announcement from the loanee or anyone else. We only sold 3 calendars.  In conclusion, this church is good for going to mass but to make a sale, the organization needs to be improved a little between the secretariat and the priest",6 years ago,2024-12-27 20:46:11.680925,4.0,Elona vaillant,29,https://www.google.com/maps/contrib/104032720550795422330/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURNcl9MR1V3EAE,"The church is soulless but the small adjoining chapel is truly magnificent: relics, rosary at 6 p.m., angelus and vespers at 6:30 p.m. and mass at 7 p.m. 😍. …",4 years ago,2024-12-27 20:46:11.680925,5.0,Jérémie Delage,19,https://www.google.com/maps/contrib/111332835710750407450/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNwN05tTFRREAE,"Very nice site. Magnificent mosaics. Beautiful place of pilgrimage, recollecting.",a year ago,2024-12-27 20:46:15.868968,5.0,Yolande Tamburello,0,https://www.google.com/maps/contrib/111041719023479957537/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpMXUyVFZBEAE,Holy place of pilgrimage where I really felt the hand of God during the procession of the Virgin and I did not have gloves despite the cold the Lord warmed me through his Cross which I carried in front of the procession. Thank you Lord for your glory.,4 years ago,2024-12-27 20:46:15.868968,5.0,Pierre Marie Coulibaly,55,https://www.google.com/maps/contrib/107763105922310453144/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpazZtdERnEAE,"Round and original shape, it feels good. Magnificent choir during the masses, and impactful homilies from Father Mura. To have.",4 years ago,2024-12-27 20:46:15.868968,5.0,Anne laure du Plessis,3,https://www.google.com/maps/contrib/116676334227744827657/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNaMmFUemF3EAE,I went to the 8:30 a.m. mass during school holidays.,a year ago,2024-12-27 20:46:15.869968,5.0,Myri MASS,25,https://www.google.com/maps/contrib/101024667901319884440/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNlMHRPSURBEAE,"The bell rings non-stop, it is a calamity for the neighboring residents. This church has no respect for anyone",2 years ago,2024-12-27 20:46:15.869968,1.0,Brit ry,0,https://www.google.com/maps/contrib/106148182923009584095/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURSb1AtdEp3EAE,There you will find the grave of an extraordinary man: Mathieu Henri Planchat.,a year ago,2024-12-27 20:46:15.869968,5.0,Frederic Nusse,26,https://www.google.com/maps/contrib/102448219382895795434/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQwNVBpSFFREAE,"Modern church, very beautiful inside, circular layout on an inclined plane... from the outside it looks like a flying saucer has landed there...",5 years ago,2024-12-27 20:46:15.869968,5.0,Serge MEDOT,215,https://www.google.com/maps/contrib/107916860142868341248/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURReTlHWk1BEAE,Beautiful church where there are great concerts on weekends and entry is free.  Plan to donate a few coins anyway,6 years ago,2024-12-27 20:46:15.870969,4.0,Francine de Bailliencourt,623,https://www.google.com/maps/contrib/116162691414631099011/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNsa2RyMjBBRRAB,Round church. Simple and sober. Excellent acoustics.,a year ago,2024-12-27 20:46:15.870969,5.0,Marie-France Burel,107,https://www.google.com/maps/contrib/118413929558836413116/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURkdTQzWnFnRRAB,Apparitions of Our Lady of Salette,10 months ago,2024-12-27 20:46:15.870969,5.0,陶陶,485,https://www.google.com/maps/contrib/115977459517338821913/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQ5NmF5ekdnEAE,Original architecture. Good acoustics.,9 months ago,2024-12-27 20:46:20.013992,4.0,Benoît Barré,307,https://www.google.com/maps/contrib/117432150334560201607/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUQwN1kyZ3VBRRAB,"Amazing modern church hidden in the heart of the 15th, squeezed between Parisian buildings. Place of peace in the city",5 years ago,2024-12-27 20:46:20.013992,5.0,Axelle,21,https://www.google.com/maps/contrib/109290758621614466423/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQtMGZ1LUt3EAE,Good acoustics. Warm welcome Very moving artists.,2 years ago,2024-12-27 20:46:20.013992,4.0,Joëlle Bellanger,58,https://www.google.com/maps/contrib/118331569898430220877/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNveWVUdGtBRRAB,"Superb round church. Very pretty stained glass windows, charming renovated little chapel",5 years ago,2024-12-27 20:46:20.013992,4.0,Florence Chaumont,64,https://www.google.com/maps/contrib/103661351235273061194/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURHaHFUS3dBRRAB,I went to pray and I attended the choir which is amazing,3 years ago,2024-12-27 20:46:20.014993,5.0,Denise Bellito,0,https://www.google.com/maps/contrib/116787266498465192757/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNzNzlQQWJBEAE,An exceptional place of contemplation due to its design and its welcome. Perfect place for family life,4 years ago,2024-12-27 20:46:20.014993,5.0,caroline desumeur,66,https://www.google.com/maps/contrib/115595327220019643313/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURxbDlhTjNnRRAB,Trd beautiful light very good a large church which can buy a lot of people,3 years ago,2024-12-27 20:46:20.014993,5.0,Courier Angele,2,https://www.google.com/maps/contrib/112750213129447431675/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURZb3Z1Y253RRAB,Very beautiful modern building for an exceptional concert,5 years ago,2024-12-27 20:46:20.014993,5.0,BJR Bernie,651,https://www.google.com/maps/contrib/103819278413558074908/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNjdWZXam9nRRAB,This is where we accompanied Jean-Marie... Very beautiful church.,4 years ago,2024-12-27 20:46:20.015993,5.0,"BB, SM & Kmye",147,https://www.google.com/maps/contrib/111936476084796547298/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURnazk2TWRBEAE,"I'm currently there my first reaction is a wow, it's so beautiful...",6 years ago,2024-12-27 20:46:20.015993,5.0,chmarzynski sylvain et nihel,153,https://www.google.com/maps/contrib/112066338401815040854/reviews?hl=en
