id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUQ5ejhTRnh3RRAB,Mama,10 months ago,2025-01-24 12:12:34.864932,5.0,Dechu_gm,0,https://www.google.com/maps/contrib/113217487744026636404/reviews?hl=en-GB
ChZDSUhNMG9nS0VJQ0FnSURJLWNYOWNREAE,Very beautiful church class historic monument to see!,6 years ago,2025-01-24 12:12:34.870938,5.0,pascale vivier,43,https://www.google.com/maps/contrib/114927417863077646066/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURzX3BYTG13RRAB,"A 17th century church, an excellent place for prayer.",4 years ago,2025-01-24 12:12:34.871937,5.0,Borice Mokele,18,https://www.google.com/maps/contrib/107916551990708116580/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVek16d293RRAB,Great church! Welcome!,5 years ago,2025-01-24 12:12:34.871937,5.0,my florabelle,76,https://www.google.com/maps/contrib/103155098579780154649/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNDcGN2WGZBEAE,we feel the peace of the Lord as soon as we enter,4 years ago,2025-01-24 12:12:34.872933,5.0,sandrine djete,9,https://www.google.com/maps/contrib/112365873999885254125/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNzbU9xOEd3EAE,To discover a place of reflection and questioning about oneself,5 years ago,2025-01-24 12:12:34.872933,4.0,Portejoie Maurice,210,https://www.google.com/maps/contrib/108097627841440071293/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN4cDczQXl3RRAB,Place of history and prayer,a year ago,2025-01-24 12:12:34.873934,5.0,Francine Fromont,28,https://www.google.com/maps/contrib/102204991508881259163/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURNX2FQdDVRRRAB,My parish that I love very much,5 years ago,2025-01-24 12:12:34.873934,5.0,Liza,82,https://www.google.com/maps/contrib/114363179275706901922/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURTenJqSVZBEAE,Wow,4 years ago,2025-01-24 12:12:38.987103,5.0,Leo Raphaello,121,https://www.google.com/maps/contrib/109392928991443287495/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNvanNpWTd3RRAB,To (visit) or collect,5 years ago,2025-01-24 12:12:38.987103,5.0,Thierry Combourieu,128,https://www.google.com/maps/contrib/113794520096264366248/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNEa19HNVpREAE,,9 months ago,2025-01-24 12:12:38.988102,4.0,Daniel Gambirasio,0,https://www.google.com/maps/contrib/112031762037143012048/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURGNzZ6V05nEAE,,a year ago,2025-01-24 12:12:38.989104,5.0,Valerie Scagliola,22,https://www.google.com/maps/contrib/115338182630415412837/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNwbE42b1lBEAE,,a year ago,2025-01-24 12:12:38.989104,5.0,Boulos AOUDE,0,https://www.google.com/maps/contrib/112798842213323737584/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURoc1BPWTlBRRAB,,a year ago,2025-01-24 12:12:38.990105,4.0,Lévy Adou,0,https://www.google.com/maps/contrib/108722856624852366584/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNlMHVyQk5nEAE,,2 years ago,2025-01-24 12:12:38.990105,5.0,Braim Djabri,59,https://www.google.com/maps/contrib/115778112320588668679/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUN1bFpISi1RRRAB,,2 years ago,2025-01-24 12:12:38.991103,3.0,Chlorophylle Paris20,2,https://www.google.com/maps/contrib/112499830948316969168/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURXLU16VkJBEAE,,2 years ago,2025-01-24 12:12:38.991103,4.0,Frédéric Rigoulay,28,https://www.google.com/maps/contrib/110145031984729898241/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNtNjVMVlhREAE,,3 years ago,2025-01-24 12:12:38.992103,5.0,Alain Boula,0,https://www.google.com/maps/contrib/106339791065299339111/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURHLTltcUlREAE,,3 years ago,2025-01-24 12:12:43.117714,3.0,Mari'Sar Beauté,47,https://www.google.com/maps/contrib/100952851356406327193/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxOHZpMURnEAE,,3 years ago,2025-01-24 12:12:43.118713,4.0,Maria-clara MONTEIRO,0,https://www.google.com/maps/contrib/101681499928008019039/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURxaU1pSEtnEAE,,3 years ago,2025-01-24 12:12:43.118713,4.0,Sabrina Aidoud,0,https://www.google.com/maps/contrib/109305776202955951816/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNLeEw3ZjhRRRAB,,3 years ago,2025-01-24 12:12:43.119712,5.0,BOISTUAUD Lionel,1,https://www.google.com/maps/contrib/113226621985170894872/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpeHYzOU53EAE,,4 years ago,2025-01-24 12:12:43.119712,5.0,Sylviane Alamelou,0,https://www.google.com/maps/contrib/105201028291135741878/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURDaGFqWV9nRRAB,,4 years ago,2025-01-24 12:12:43.120712,5.0,Thierrymichel Loiseau,0,https://www.google.com/maps/contrib/110002315384586123657/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURjdXVxeUl3EAE,,4 years ago,2025-01-24 12:12:43.120712,4.0,christophe vaillant,0,https://www.google.com/maps/contrib/102246924118793067684/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURzX3RQd2l3RRAB,,4 years ago,2025-01-24 12:12:43.121713,5.0,Mathieu De Almeida,9,https://www.google.com/maps/contrib/111773156051984819671/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURzbUtlQURnEAE,,4 years ago,2025-01-24 12:12:43.121713,5.0,Marie Agnes Eoche Duval,131,https://www.google.com/maps/contrib/100412751691369784036/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNzaXA3SmZBEAE,,4 years ago,2025-01-24 12:12:43.122714,5.0,Valerio Renato,7,https://www.google.com/maps/contrib/103996107763943212871/reviews?hl=en
