id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUMzdU9yMzhnRRAB,"located in the 5th arr, is this very small haven of tranquility, perfect for a short rest.",3 months ago,2025-02-09 14:56:52.222558,5.0,V H,"1,066",https://www.google.com/maps/contrib/116525100818724963755/reviews?hl=en-US
ChZDSUhNMG9nS0VJQ0FnSUN3cUlEa1ZnEAE,"Through its streets and squares, Paris pays tribute to the main resistance fighters: Jean Moulin, Danièle Mitterrand, Honoré d'Estienne d'Orves (I only cite the greatest)",7 years ago,2025-02-09 14:56:52.228559,5.0,EC,181,https://www.google.com/maps/contrib/114356322028321557355/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUMwMlp5bmpnRRAB,Very pleasant place full of history with it seems François Mitterrand who lived there,5 years ago,2025-02-09 14:56:52.228559,4.0,Patrick Bohbot,16,https://www.google.com/maps/contrib/109668972666716345064/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURVMTZ5Tmt3RRAB,Very quiet secluded garden.,5 years ago,2025-02-09 14:56:52.229559,4.0,bastille genius,178,https://www.google.com/maps/contrib/100742357358620012792/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNlbHQ3UHZnRRAB,Would deserve maintenance from the town hall,2 years ago,2025-02-09 14:56:52.229559,4.0,Pierre Mazzoni,232,https://www.google.com/maps/contrib/116084344546168706778/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNoNGZlWWtnRRAB,Great place to walk your dog,a year ago,2025-02-09 14:56:52.230559,4.0,巴塞罗那漫步,44,https://www.google.com/maps/contrib/110879795481542509920/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUR1bVpPRDFRRRAB,,2 years ago,2025-02-09 14:56:52.230559,5.0,Fred Nelson,32,https://www.google.com/maps/contrib/110587706366460461210/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNhZ05Ici1nRRAB,Should think about cleaning the benches,2 years ago,2025-02-09 14:56:56.417698,4.0,herve delaunay,7,https://www.google.com/maps/contrib/107951409678609381876/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNRa01mRFpREAE,Trankille for a lunch break,8 years ago,2025-02-09 14:56:56.418698,5.0,SENEC DJO,9,https://www.google.com/maps/contrib/105896081909165651344/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURxNnEtcXFBRRAB,Quiet and pretty...,3 years ago,2025-02-09 14:56:56.418698,4.0,moura Ben,319,https://www.google.com/maps/contrib/111333874099668437276/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNnNUw3TEZREAE,Posey to death,7 years ago,2025-02-09 14:56:56.419698,5.0,Nicolas Caromel,0,https://www.google.com/maps/contrib/114975044279297740341/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURyLS03NW9BRRAB,,6 months ago,2025-02-09 14:56:56.419698,5.0,Kevin Cannon,67,https://www.google.com/maps/contrib/107528111703920171252/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUN1aDZPaE5REAE,,2 years ago,2025-02-09 14:56:56.420698,5.0,Miccà Strega,35,https://www.google.com/maps/contrib/117494130297128518460/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNpLXBiOFFREAE,,4 years ago,2025-02-09 14:56:56.420698,1.0,Nicolas Wiel,0,https://www.google.com/maps/contrib/113046939416697971375/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUQwb01pM1d3EAE,,5 years ago,2025-02-09 14:56:56.420698,3.0,Jacques Charlier,89,https://www.google.com/maps/contrib/102882420462978698993/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNVeWNUWjd3RRAB,,5 years ago,2025-02-09 14:56:56.421698,4.0,Dalhia P.,82,https://www.google.com/maps/contrib/115882226489075445089/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURZeDRtQmFREAE,,5 years ago,2025-02-09 14:56:56.421698,5.0,Loïc Delpy,19,https://www.google.com/maps/contrib/102521839253969059337/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURRb3JmZmV3EAE,,6 years ago,2025-02-09 14:57:00.540488,5.0,Ozne DG,1,https://www.google.com/maps/contrib/114085779085853029935/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNna1plSjhBRRAB,,6 years ago,2025-02-09 14:57:00.541490,4.0,Laure POULIQUEN (Officiel),0,https://www.google.com/maps/contrib/111159684721999322221/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNncmVYNXZBRRAB,,7 years ago,2025-02-09 14:57:00.541490,2.0,Eric Lhoir,6,https://www.google.com/maps/contrib/106559659642485076379/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURBeDdhRE13EAE,,7 years ago,2025-02-09 14:57:00.542489,5.0,Philippe Leclercq,7,https://www.google.com/maps/contrib/102279109064125237417/reviews?hl=en
